B.Tag,Time,CoralR,CoralG,CoralB,Notes
Y58,Post_Treat,0.51869,0.58626,0.067281,
Y59,Post_Treat,0.62045,0.66884,0.29609,
Y60,Post_Treat,0.39215,0.4794,0.060065,no tissue
Y615,Post_Treat,0.27043,0.3017,0.012759,
Y6172,Post_Treat,0.3472,0.38646,-0.03806,
Y6359,Post_Treat,0.44997,0.42233,-0.03242,
Y64,Post_Treat,0.5366,0.61303,0.21867,no tissue?
Y65,Post_Treat,0.57967,0.59201,0.23265,
Y6599,Post_Treat,0.26127,0.29939,-0.04679,algae partially overing septa
Y6688,Post_Treat,0.39273,0.43159,-0.03294,
Y67,Post_Treat,0.421,0.54954,0.14864,
Y6758,Post_Treat,0.30689,0.29783,-0.01335,
Y6806,Post_Treat,0.39268,0.40451,-0.06706,
Y6908,Post_Treat,0.45866,0.42498,-0.07906,
Y70,Post_Treat,0.52041,0.38344,0.26255,
Y7071,Post_Treat,0.33358,0.31241,0.038778,
Y71,Post_Treat,0.46986,0.59601,0.13463,
Y72,Post_Treat,0.46898,0.6152,0.11996,
Y73,Post_Treat,0.57907,0.72528,0.27969,
Y7364,Post_Treat,0.30404,0.31916,-0.00542,
Y74,Post_Treat,0.4512,0.60917,0.1561,
Y7409,Post_Treat,0.26159,0.34965,-0.02116,
Y75,Post_Treat,0.58313,0.72738,0.16099,
Y76,Post_Treat,0.54957,0.56851,0.12728,
Y7679,Post_Treat,0.32609,0.42318,-0.09697,
Y77,Post_Treat,0.43558,0.62636,0.15811,
Y78,Post_Treat,0.43721,0.51452,0.092311,
Y79,Post_Treat,0.50338,0.34981,0.17143,
Y8,Post_Treat,0.25497,0.35576,0.035846,green algae in septa
Y82,Post_Treat,0.50112,0.67677,0.045365,
Y8291,Post_Treat,0.30756,0.32653,-0.03291,
Y83,Post_Treat,0.54766,0.56692,0.30474,
Y84,Post_Treat,0.37576,0.47124,0.13859,
Y8483,Post_Treat,0.34244,0.50325,-0.06051,algae in septa
Y8794,Post_Treat,0.42371,0.41754,-0.11334,
Y88,Post_Treat,0.52196,0.67376,0.12824,
Y8975,Post_Treat,0.4074,0.42529,-0.08244,
Y914,Post_Treat,0.55176,0.64078,0.15958,
Y92,Post_Treat,0.46698,0.58239,0.064689,
Y9278,Post_Treat,0.39179,0.36651,0.024336,
Y93,Post_Treat,0.50467,0.64042,0.11721,
Y9398,Post_Treat,0.34894,0.28452,0.023807,
Y9597,Post_Treat,0.4109,0.46005,-0.03508,
Y9885,Post_Treat,0.45681,0.44091,-0.03737,
