Date,Day,Sump,Colony,Treatment,Temperature,Plastic,Light,Food,Tank,Tile,Sym.State,B.Tag,FvFm.AVG
10/19/2021,22,Orange,A6,PLS,Elevated,Plastic,Light,Starved,B2,26,Apo,B75,0.122
10/19/2021,22,Orange,S7,PLS,Elevated,Plastic,Light,Starved,B3,34,Sym,W23,0.078
10/19/2021,22,Orange,S7,PLS,Elevated,Plastic,Light,Starved,B3,34,Sym,W24,0.046
10/19/2021,22,Orange,S7,PLS,Elevated,Plastic,Light,Starved,B3,34,Sym,W25,0.049
10/19/2021,22,Orange,S7,PLS,Elevated,Plastic,Light,Starved,B3,34,Sym,W26,0.070
10/19/2021,22,Orange,S7,PLS,Elevated,Plastic,Light,Starved,B3,34,Sym,W27,0.204
10/19/2021,22,Orange,A9,PLS,Elevated,Plastic,Light,Starved,B3,42,Apo,W64,0.110
10/19/2021,22,Orange,A9,PLS,Elevated,Plastic,Light,Starved,B3,42,Apo,W65,0.092
10/19/2021,22,Orange,A10,PLS,Elevated,Plastic,Light,Starved,B3,42,Apo,W67,0.087
10/19/2021,22,Orange,A11,PLS,Elevated,Plastic,Light,Starved,B3,42,Apo,W70,NA
10/19/2021,22,Orange,A11,PLS,Elevated,Plastic,Light,Starved,B3,42,Apo,W71,0.070
10/19/2021,22,Orange,S9,PLS,Elevated,Plastic,Light,Starved,B4,50,Sym,Y20,NA
10/19/2021,22,Orange,S10,PLS,Elevated,Plastic,Light,Starved,B4,50,Sym,Y21,NA
10/19/2021,22,Orange,S11,PLS,Elevated,Plastic,Light,Starved,B4,50,Sym,Y22,0.073
10/19/2021,22,Orange,S11,PLS,Elevated,Plastic,Light,Starved,B4,50,Sym,Y23,0.067
10/19/2021,22,Orange,S12,PLS,Elevated,Plastic,Light,Starved,B4,50,Sym,Y24,0.053
10/19/2021,22,Orange,A12,PLS,Elevated,Plastic,Light,Starved,B4,58,Apo,Y60,0.241
10/19/2021,22,Orange,A12,PLS,Elevated,Plastic,Light,Starved,B4,58,Apo,Y62,NA
