BTag,Day,Mass.G,mass.mg,logmass.mg,Fvfm,Rcolor,MR,logMR,Colony,Fragment,Phenotype,Treatment,Temperature,Tank,Tile,DaysAlive,Censored,Bacteria
B12,Day8,0.217,217,5.37989735,0.2,NA,0.00631,-5.0656196,A3,12,Apo,NDF,Elevated (30C),G1,15,21,N,SW
B13,Day0,0.051,51,3.93182563,NA,0.39911,NA,NA,S4,1,Sym,PDS,Elevated (30C),A2,17,22,N,EC
B13,Day1,NA,NA,NA,0.259,0.35877,NA,NA,S4,1,Sym,PDS,Elevated (30C),A2,17,22,N,EC
B13,Day15,0.035,35,3.55534806,0.158,NA,0.00761,-4.8782921,S4,1,Sym,PDS,Elevated (30C),A2,17,22,N,EC
B13,Day22,0.033,33,3.49650756,0.076,0.61264,0.01142,-4.4723891,S4,1,Sym,PDS,Elevated (30C),A2,17,22,N,EC
B13,Day8,0.041,41,3.71357207,0.089,NA,0.01163,-4.4541673,S4,1,Sym,PDS,Elevated (30C),A2,17,22,N,EC
B1315,Day0,0.33,330,5.79909265,NA,0.33302,NA,NA,S20,3,Sym,Control,Ambient (19C),Tray,87,22,N,NA
B1315,Day1,NA,NA,NA,NA,NA,NA,NA,S20,3,Sym,Control,Ambient (19C),Tray,87,22,N,NA
B1315,Day15,NA,NA,NA,NA,NA,NA,NA,S20,3,Sym,Control,Ambient (19C),Tray,87,22,N,NA
B1315,Day22,0.309,309,5.73334128,0.275,0.32507,NA,NA,S20,3,Sym,Control,Ambient (19C),Tray,87,22,N,NA
B1315,Day8,NA,NA,NA,NA,NA,NA,NA,S20,3,Sym,Control,Ambient (19C),Tray,87,22,N,NA
B14,Day0,0.119,119,4.77912349,NA,0.45726,NA,NA,S4,8,Sym,PDS,Elevated (30C),A2,17,22,N,SW
B14,Day1,NA,NA,NA,0.219,0.44589,NA,NA,S4,8,Sym,PDS,Elevated (30C),A2,17,22,N,SW
B14,Day15,0.091,91,4.51085951,0.201,NA,0.00354,-5.6436286,S4,8,Sym,PDS,Elevated (30C),A2,17,22,N,SW
B14,Day22,0.089,89,4.48863637,0.045,0.63215,0.00316,-5.7571833,S4,8,Sym,PDS,Elevated (30C),A2,17,22,N,SW
B14,Day8,0.093,93,4.53259949,0.11,NA,0.00555,-5.1939574,S4,8,Sym,PDS,Elevated (30C),A2,17,22,N,SW
B15,Day0,0.261,261,5.56452041,NA,0.34244,NA,NA,S4,17,Sym,PDS,Elevated (30C),A2,17,22,N,EC
B15,Day1,NA,NA,NA,0.322,0.40593,NA,NA,S4,17,Sym,PDS,Elevated (30C),A2,17,22,N,EC
B15,Day15,0.24,240,5.48063892,0.172,NA,0.00559,-5.186776,S4,17,Sym,PDS,Elevated (30C),A2,17,22,N,EC
B15,Day22,0.236,236,5.46383181,0.093,0.48784,0.0094,-4.6670456,S4,17,Sym,PDS,Elevated (30C),A2,17,22,N,EC
B15,Day8,0.243,243,5.49306144,0.129,NA,0.02377,-3.739331,S4,17,Sym,PDS,Elevated (30C),A2,17,22,N,EC
B189,Day0,0.291,291,5.67332327,NA,0.39524,NA,NA,S18,3,Sym,Control,Ambient (19C),Tray,86,22,N,NA
B189,Day1,NA,NA,NA,NA,NA,NA,NA,S18,3,Sym,Control,Ambient (19C),Tray,86,22,N,NA
B189,Day15,NA,NA,NA,NA,NA,NA,NA,S18,3,Sym,Control,Ambient (19C),Tray,86,22,N,NA
B189,Day22,0.282,282,5.64190707,0.341,0.40509,NA,NA,S18,3,Sym,Control,Ambient (19C),Tray,86,22,N,NA
B189,Day8,NA,NA,NA,NA,NA,NA,NA,S18,3,Sym,Control,Ambient (19C),Tray,86,22,N,NA
B1938,Day0,0.252,252,5.52942909,NA,0.27166,NA,NA,S19,1,Sym,Control,Ambient (19C),Tray,86,22,N,EC
B1938,Day1,NA,NA,NA,NA,NA,NA,NA,S19,1,Sym,Control,Ambient (19C),Tray,86,22,N,EC
B1938,Day15,NA,NA,NA,NA,NA,NA,NA,S19,1,Sym,Control,Ambient (19C),Tray,86,22,N,EC
B1938,Day22,0.252,252,5.52942909,0.425,0.42406,0.04253,-3.1575456,S19,1,Sym,Control,Ambient (19C),Tray,86,22,N,EC
B1938,Day8,NA,NA,NA,NA,NA,NA,NA,S19,1,Sym,Control,Ambient (19C),Tray,86,22,N,EC
B2,Day0,0.286,286,5.65599181,NA,0.2748,NA,NA,S25,1,Sym,PDF,Elevated (30C),E1,5,22,N,EC
B2,Day1,NA,NA,NA,0.243,0.4353,NA,NA,S25,1,Sym,PDF,Elevated (30C),E1,5,22,N,EC
B2,Day15,0.27,270,5.59842196,0.148,NA,0.01148,-4.4671489,S25,1,Sym,PDF,Elevated (30C),E1,5,22,N,EC
B2,Day22,0.261,261,5.56452041,0.312,0.57612,0.0545,-2.9095546,S25,1,Sym,PDF,Elevated (30C),E1,5,22,N,EC
B2,Day8,0.279,279,5.63121178,0.179,NA,0.0457,-3.085657,S25,1,Sym,PDF,Elevated (30C),E1,5,22,N,EC
B20,Day0,0.116,116,4.75359019,NA,0.40641,NA,NA,S5,2,Sym,PDS,Elevated (30C),A2,17,22,N,SW
B20,Day1,NA,NA,NA,0.298,0.44555,NA,NA,S5,2,Sym,PDS,Elevated (30C),A2,17,22,N,SW
