BTag,Day,Mass.G,mass.mg,logmass.mg,Fvfm,Rcolor,MR,logMR,Colony,Fragment,Phenotype,Treatment,Temperature,Tank,Tile,DaysAlive,Censored,Bacteria
G32,Day0,0.107,107,4.67282883,NA,0.39091,NA,NA,S29,2,Sym,PLS,Elevated (30C),B1,2,22,N,SW
G32,Day1,NA,NA,NA,0.202,0.46521,NA,NA,S29,2,Sym,PLS,Elevated (30C),B1,2,22,N,SW
G32,Day15,0.103,103,4.63472899,0.152,NA,0.00385,-5.5596821,S29,2,Sym,PLS,Elevated (30C),B1,2,22,N,SW
G32,Day22,0.099,99,4.59511985,0.057,0.43906,0.00579,-5.151623,S29,2,Sym,PLS,Elevated (30C),B1,2,22,N,SW
G32,Day8,0.195,195,5.27299956,0.108,NA,0.01125,-4.4873872,S29,2,Sym,PLS,Elevated (30C),B1,2,22,N,SW
G33,Day0,0.458,458,6.12686918,NA,0.25668,NA,NA,S21,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G33,Day1,NA,NA,NA,0.343,0.44371,NA,NA,S21,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G33,Day15,0.444,444,6.09582456,0.141,NA,0.00109,-6.8215776,S21,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G33,Day22,0.42,420,6.04025471,0.064,0.37263,0.00115,-6.7679933,S21,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G33,Day8,0.453,453,6.11589213,0.314,NA,0.01559,-4.1611256,S21,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G34,Day0,0.039,39,3.66356165,NA,0.38789,NA,NA,S24,2,Sym,NDS,Elevated (30C),C1,3,9,N,EC
G34,Day1,NA,NA,NA,0.263,0.44639,NA,NA,S24,2,Sym,NDS,Elevated (30C),C1,3,9,N,EC
G34,Day15,NA,NA,NA,NA,NA,NA,NA,S24,2,Sym,NDS,Elevated (30C),C1,3,9,N,EC
G34,Day22,NA,NA,NA,NA,NA,NA,NA,S24,2,Sym,NDS,Elevated (30C),C1,3,9,N,EC
G34,Day8,0.053,53,3.97029191,0.336,NA,0.13029,-2.0379925,S24,2,Sym,NDS,Elevated (30C),C1,3,9,N,EC
G35,Day0,0.174,174,5.1590553,NA,0.34139,NA,NA,S26,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G35,Day1,NA,NA,NA,0.249,0.44806,NA,NA,S26,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G35,Day15,0.16,160,5.07517382,0.181,NA,0.00397,-5.5289892,S26,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G35,Day22,0.152,152,5.02388052,0.161,0.46263,0.00236,-6.0490937,S26,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G35,Day8,0.17,170,5.13579844,0.038,NA,0.01409,-4.26229,S26,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G37,Day0,0.218,218,5.38449506,NA,0.33511,NA,NA,S28,1,Sym,NDS,Elevated (30C),C1,3,22,N,EC
G37,Day1,NA,NA,NA,0.382,0.44271,NA,NA,S28,1,Sym,NDS,Elevated (30C),C1,3,22,N,EC
G37,Day15,0.206,206,5.32787617,0.19,NA,0.00616,-5.0896785,S28,1,Sym,NDS,Elevated (30C),C1,3,22,N,EC
G37,Day22,0.201,201,5.30330491,0.149,0.61107,0.0041,-5.4967683,S28,1,Sym,NDS,Elevated (30C),C1,3,22,N,EC
G37,Day8,0.214,214,5.36597602,0.049,NA,0.02366,-3.7439694,S28,1,Sym,NDS,Elevated (30C),C1,3,22,N,EC
G38,Day0,0.175,175,5.16478597,NA,0.40944,NA,NA,S29,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G38,Day1,NA,NA,NA,0.235,0.44744,NA,NA,S29,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G38,Day15,0.173,173,5.15329159,0.022,NA,0.00401,-5.518964,S29,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G38,Day22,0.165,165,5.10594547,0.162,0.44189,0.00368,-5.6048425,S29,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G38,Day8,0.178,178,5.18178355,0.274,NA,0.02183,-3.8244701,S29,3,Sym,NDS,Elevated (30C),C1,3,22,N,SW
G39,Day0,0.108,108,4.68213123,NA,0.32454,NA,NA,S22,1,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G39,Day1,NA,NA,NA,0.18,0.365,NA,NA,S22,1,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G39,Day15,0.087,87,4.46590812,0.196,NA,0.00675,-4.9982128,S22,1,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G39,Day22,0.076,76,4.33073334,0.304,0.45056,0.00928,-4.6798937,S22,1,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G39,Day8,0.094,94,4.54329478,0.211,NA,0.05669,-2.8701575,S22,1,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G4,Day0,0.16,160,5.07517382,NA,0.32433,NA,NA,S21,1,Sym,PDS,Elevated (30C),A1,1,22,N,SW
G4,Day1,NA,NA,NA,0.288,0.41525,NA,NA,S21,1,Sym,PDS,Elevated (30C),A1,1,22,N,SW
G4,Day15,0.147,147,4.99043259,0.151,NA,0.00427,-5.4561415,S21,1,Sym,PDS,Elevated (30C),A1,1,22,N,SW
G4,Day22,0.147,147,4.99043259,0.062,0.51912,0.00229,-6.0792035,S21,1,Sym,PDS,Elevated (30C),A1,1,22,N,SW
G4,Day8,0.151,151,5.01727984,0.254,NA,0.0039,-5.5467787,S21,1,Sym,PDS,Elevated (30C),A1,1,22,N,SW
G40,Day0,0.331,331,5.80211838,NA,0.33847,NA,NA,S24,3,Sym,NLS,Elevated (30C),D1,4,22,N,EC
G40,Day1,NA,NA,NA,0.169,0.4043,NA,NA,S24,3,Sym,NLS,Elevated (30C),D1,4,22,N,EC
G40,Day15,0.343,343,5.83773045,0.159,NA,0.01944,-3.9404225,S24,3,Sym,NLS,Elevated (30C),D1,4,22,N,EC
G40,Day22,0.347,347,5.84932478,0.14,0.46394,0.03081,-3.479916,S24,3,Sym,NLS,Elevated (30C),D1,4,22,N,EC
G40,Day8,0.338,338,5.8230459,0.17,NA,0.02922,-3.5329019,S24,3,Sym,NLS,Elevated (30C),D1,4,22,N,EC
G41,Day0,0.088,88,4.47733681,NA,0.35878,NA,NA,S27,1,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G41,Day1,NA,NA,NA,0.217,0.43835,NA,NA,S27,1,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G41,Day15,0.184,184,5.21493576,0.059,NA,0.00959,-4.6470344,S27,1,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G41,Day22,0.061,61,4.11087386,0.094,0.5966,0.00665,-5.0131384,S27,1,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G41,Day8,0.085,85,4.44265126,0.187,NA,0.01014,-4.5912673,S27,1,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G4161,Day0,0.194,194,5.26785816,NA,0.53435,NA,NA,A23,2,Apo,Control,Ambient (19C),Tray,93,22,N,NA
G4161,Day1,NA,NA,NA,NA,NA,NA,NA,A23,2,Apo,Control,Ambient (19C),Tray,93,22,N,NA
G4161,Day15,NA,NA,NA,NA,NA,NA,NA,A23,2,Apo,Control,Ambient (19C),Tray,93,22,N,NA
G4161,Day22,0.193,193,5.26269019,0.134,0.5904,NA,NA,A23,2,Apo,Control,Ambient (19C),Tray,93,22,N,NA
G4161,Day8,NA,NA,NA,NA,NA,NA,NA,A23,2,Apo,Control,Ambient (19C),Tray,93,22,N,NA
G42,Day0,0.178,178,5.18178355,NA,0.33767,NA,NA,S28,2,Sym,NLS,Elevated (30C),D1,4,22,N,EC
G42,Day1,NA,NA,NA,0.183,0.45313,NA,NA,S28,2,Sym,NLS,Elevated (30C),D1,4,22,N,EC
G42,Day15,0.176,176,5.170484,0.154,NA,0.00445,-5.4148512,S28,2,Sym,NLS,Elevated (30C),D1,4,22,N,EC
G42,Day22,0.175,175,5.16478597,0.227,0.39995,0.05282,-2.9408654,S28,2,Sym,NLS,Elevated (30C),D1,4,22,N,EC
G42,Day8,0.175,175,5.16478597,0.21,NA,0.01351,-4.3043251,S28,2,Sym,NLS,Elevated (30C),D1,4,22,N,EC
G43,Day0,0.179,179,5.18738581,NA,0.30968,NA,NA,S29,4,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G43,Day1,NA,NA,NA,0.159,0.33128,NA,NA,S29,4,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G43,Day15,0.184,184,5.21493576,0.104,NA,0.00849,-4.7688663,S29,4,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G43,Day22,0.184,184,5.21493576,0.091,0.35366,0.00562,-5.1814236,S29,4,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G43,Day8,0.195,195,5.27299956,0.27,NA,0.02643,-3.6332556,S29,4,Sym,NLS,Elevated (30C),D1,4,22,N,SW
G44,Day0,0.355,355,5.87211779,NA,0.37879,NA,NA,S22,3,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G44,Day1,NA,NA,NA,0.281,0.33439,NA,NA,S22,3,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G44,Day15,0.351,351,5.86078622,0.092,NA,0.00815,-4.8097374,S22,3,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G44,Day22,0.255,255,5.54126355,0.051,0.50588,0.0137,-4.2903594,S22,3,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G44,Day8,0.369,369,5.91079664,0.133,NA,0.00741,-4.9049248,S22,3,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G45,Day0,0.213,213,5.36129217,NA,0.37051,NA,NA,S25,2,Sym,PLF,Elevated (30C),F1,6,22,N,EC
G45,Day1,NA,NA,NA,0.379,0.42197,NA,NA,S25,2,Sym,PLF,Elevated (30C),F1,6,22,N,EC
G45,Day15,0.198,198,5.28826703,0.057,NA,0.00419,-5.4750545,S25,2,Sym,PLF,Elevated (30C),F1,6,22,N,EC
G45,Day22,0.201,201,5.30330491,0.048,0.53379,0.00456,-5.3904327,S25,2,Sym,PLF,Elevated (30C),F1,6,22,N,EC
G45,Day8,0.21,210,5.34710753,0.165,NA,0.10742,-2.2310089,S25,2,Sym,PLF,Elevated (30C),F1,6,22,N,EC
G46,Day0,0.164,164,5.09986643,NA,0.34115,NA,NA,S27,3,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G46,Day1,NA,NA,NA,0.183,0.51179,NA,NA,S27,3,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G46,Day15,0.142,142,4.95582706,0.212,NA,0.00672,-5.0026671,S27,3,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G46,Day22,0.138,138,4.92725369,0.301,0.40238,0.00683,-4.9864306,S27,3,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G46,Day8,0.156,156,5.04985601,0.188,NA,0.00944,-4.6627993,S27,3,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G47,Day0,0.319,319,5.7651911,NA,0.2247,NA,NA,S28,4,Sym,PLF,Elevated (30C),F1,6,22,N,EC
G47,Day1,NA,NA,NA,0.289,0.42028,NA,NA,S28,4,Sym,PLF,Elevated (30C),F1,6,22,N,EC
G47,Day15,0.311,311,5.73979291,0.076,NA,0.07358,-2.609382,S28,4,Sym,PLF,Elevated (30C),F1,6,22,N,EC
G47,Day22,0.311,311,5.73979291,0.091,0.4965,0.02034,-3.8951659,S28,4,Sym,PLF,Elevated (30C),F1,6,22,N,EC
G47,Day8,0.32,320,5.768321,0.176,NA,0.0147,-4.2199078,S28,4,Sym,PLF,Elevated (30C),F1,6,22,N,EC
G48,Day0,0.107,107,4.67282883,NA,0.32496,NA,NA,S29,6,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G48,Day1,NA,NA,NA,0.333,0.31885,NA,NA,S29,6,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G48,Day15,0.086,86,4.4543473,0.064,NA,0.0063,-5.0672056,S29,6,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G48,Day22,0.085,85,4.44265126,0.072,0.359,0.00707,-4.9518948,S29,6,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G48,Day8,0.092,92,4.52178858,0.119,NA,0.00821,-4.8024024,S29,6,Sym,PLF,Elevated (30C),F1,6,22,N,SW
G49,Day0,0.341,341,5.83188248,NA,0.38987,NA,NA,S22,4,Sym,NDF,Elevated (30C),G1,7,18,N,SW
G49,Day1,NA,NA,NA,0.156,0.31797,NA,NA,S22,4,Sym,NDF,Elevated (30C),G1,7,18,N,SW
G49,Day15,0.297,297,5.69373214,0.054,NA,0.00238,-6.0406548,S22,4,Sym,NDF,Elevated (30C),G1,7,18,N,SW
G49,Day22,NA,NA,NA,NA,NA,NA,NA,S22,4,Sym,NDF,Elevated (30C),G1,7,18,N,SW
G49,Day8,0.36,360,5.88610403,0.261,NA,0.05868,-2.8356563,S22,4,Sym,NDF,Elevated (30C),G1,7,18,N,SW
G50,Day0,0.356,356,5.87493073,NA,0.37182,NA,NA,S25,3,Sym,NDF,Elevated (30C),G1,7,19,N,EC
G50,Day1,NA,NA,NA,0.292,0.33673,NA,NA,S25,3,Sym,NDF,Elevated (30C),G1,7,19,N,EC
G50,Day15,0.347,347,5.84932478,0.096,NA,0.00519,-5.2610216,S25,3,Sym,NDF,Elevated (30C),G1,7,19,N,EC
G50,Day22,NA,NA,NA,NA,NA,NA,NA,S25,3,Sym,NDF,Elevated (30C),G1,7,19,N,EC
G50,Day8,0.366,366,5.90263333,0.268,NA,NA,NA,S25,3,Sym,NDF,Elevated (30C),G1,7,19,N,EC
G51,Day0,0.147,147,4.99043259,NA,0.30692,NA,NA,S27,4,Sym,NDF,Elevated (30C),G1,7,15,Y,SW
G51,Day1,NA,NA,NA,0.367,0.44137,NA,NA,S27,4,Sym,NDF,Elevated (30C),G1,7,15,Y,SW
G51,Day15,NA,NA,NA,0.086,NA,NA,NA,S27,4,Sym,NDF,Elevated (30C),G1,7,15,Y,SW
G51,Day22,NA,NA,NA,NA,NA,NA,NA,S27,4,Sym,NDF,Elevated (30C),G1,7,15,Y,SW
G51,Day8,0.136,136,4.91265489,0.255,NA,0.01574,-4.15155,S27,4,Sym,NDF,Elevated (30C),G1,7,15,Y,SW
G52,Day0,0.193,193,5.26269019,NA,0.25871,NA,NA,S28,5,Sym,NDF,Elevated (30C),G1,7,22,N,EC
G52,Day1,NA,NA,NA,0.376,0.43578,NA,NA,S28,5,Sym,NDF,Elevated (30C),G1,7,22,N,EC
G52,Day15,0.166,166,5.11198779,0.086,NA,0.00494,-5.3103899,S28,5,Sym,NDF,Elevated (30C),G1,7,22,N,EC
G52,Day22,0.16,160,5.07517382,0.291,0.58423,0.00485,-5.3287766,S28,5,Sym,NDF,Elevated (30C),G1,7,22,N,EC
G52,Day8,0.189,189,5.24174702,0.352,NA,NA,NA,S28,5,Sym,NDF,Elevated (30C),G1,7,22,N,EC
G53,Day0,0.149,149,5.00394631,NA,0.30652,NA,NA,S29,7,Sym,NDF,Elevated (30C),G1,7,15,Y,SW
G53,Day1,NA,NA,NA,0.392,0.37129,NA,NA,S29,7,Sym,NDF,Elevated (30C),G1,7,15,Y,SW
G53,Day15,NA,NA,NA,0.14,NA,NA,NA,S29,7,Sym,NDF,Elevated (30C),G1,7,15,Y,SW
G53,Day22,NA,NA,NA,NA,NA,NA,NA,S29,7,Sym,NDF,Elevated (30C),G1,7,15,Y,SW
G53,Day8,0.13,130,4.86753445,0.302,NA,0.00517,-5.2648826,S29,7,Sym,NDF,Elevated (30C),G1,7,15,Y,SW
G54,Day0,0.267,267,5.58724866,NA,0.44725,NA,NA,S23,1,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G54,Day1,NA,NA,NA,0.183,0.30058,NA,NA,S23,1,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G54,Day15,0.248,248,5.51342875,0.081,NA,0.00842,-4.7771455,S23,1,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G54,Day22,0.243,243,5.49306144,0.298,0.43386,0.00623,-5.0783789,S23,1,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G54,Day8,0.248,248,5.51342875,0.224,NA,0.0058,-5.1498974,S23,1,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G55,Day0,0.341,341,5.83188248,NA,0.24048,NA,NA,S25,4,Sym,NLF,Elevated (30C),H1,8,22,N,EC
G55,Day1,NA,NA,NA,0.301,0.36778,NA,NA,S25,4,Sym,NLF,Elevated (30C),H1,8,22,N,EC
G55,Day15,0.245,245,5.50125821,0.061,NA,0.02702,-3.6111779,S25,4,Sym,NLF,Elevated (30C),H1,8,22,N,EC
G55,Day22,0.256,256,5.54517744,0.151,0.50942,0.00966,-4.6397616,S25,4,Sym,NLF,Elevated (30C),H1,8,22,N,EC
G55,Day8,0.252,252,5.52942909,0.133,NA,0.00867,-4.7478865,S25,4,Sym,NLF,Elevated (30C),H1,8,22,N,EC
G56,Day0,0.226,226,5.420535,NA,0.22772,NA,NA,S27,5,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G56,Day1,NA,NA,NA,0.276,0.36401,NA,NA,S27,5,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G56,Day15,0.23,230,5.43807931,0.056,NA,0.0064,-5.0514573,S27,5,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G56,Day22,0.207,207,5.33271879,0.367,0.39221,0.00553,-5.1975675,S27,5,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G56,Day8,0.214,214,5.36597602,0.169,NA,0.00192,-6.2554301,S27,5,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G57,Day0,0.125,125,4.82831374,NA,0.42219,NA,NA,S28,6,Sym,NLF,Elevated (30C),H1,8,17,N,EC
G57,Day1,NA,NA,NA,0.249,0.48907,NA,NA,S28,6,Sym,NLF,Elevated (30C),H1,8,17,N,EC
G57,Day15,0.127,127,4.84418709,0.084,NA,0.02806,-3.5734102,S28,6,Sym,NLF,Elevated (30C),H1,8,17,N,EC
G57,Day22,NA,NA,NA,NA,NA,NA,NA,S28,6,Sym,NLF,Elevated (30C),H1,8,17,N,EC
G57,Day8,0.117,117,4.76217393,0.166,NA,0.00753,-4.8888602,S28,6,Sym,NLF,Elevated (30C),H1,8,17,N,EC
G58,Day0,0.228,228,5.42934563,NA,0.24794,NA,NA,S29,8,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G58,Day1,NA,NA,NA,0.348,0.27658,NA,NA,S29,8,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G58,Day15,0.215,215,5.37063803,0.142,NA,0.00492,-5.3144467,S29,8,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G58,Day22,0.217,217,5.37989735,0.284,0.35685,0.00985,-4.6202838,S29,8,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G58,Day8,0.203,203,5.31320598,0.218,NA,0.00413,-5.4894779,S29,8,Sym,NLF,Elevated (30C),H1,8,22,N,SW
G59,Day0,0.062,62,4.12713439,NA,0.63394,NA,NA,M1,8,Apo,PDS,Elevated (30C),A1,9,22,N,SW
G59,Day1,NA,NA,NA,0.199,0.49302,NA,NA,M1,8,Apo,PDS,Elevated (30C),A1,9,22,N,SW
G59,Day15,0.054,54,3.98898405,0.181,NA,0.00326,-5.7260281,M1,8,Apo,PDS,Elevated (30C),A1,9,22,N,SW
G59,Day22,0.051,51,3.93182563,0.055,0.5943,0.00304,-5.7958978,M1,8,Apo,PDS,Elevated (30C),A1,9,22,N,SW
G59,Day8,0.055,55,4.00733319,0.295,NA,0.00475,-5.3496107,M1,8,Apo,PDS,Elevated (30C),A1,9,22,N,SW
G60,Day0,0.173,173,5.15329159,NA,0.46845,NA,NA,A1,8,Apo,PDS,Elevated (30C),A1,9,22,N,EC
G60,Day1,NA,NA,NA,0.062,0.52364,NA,NA,A1,8,Apo,PDS,Elevated (30C),A1,9,22,N,EC
G60,Day15,0.152,152,5.02388052,0.123,NA,0.02182,-3.8249283,A1,8,Apo,PDS,Elevated (30C),A1,9,22,N,EC
G60,Day22,0.149,149,5.00394631,0.056,0.45186,0.00702,-4.9589921,A1,8,Apo,PDS,Elevated (30C),A1,9,22,N,EC
G60,Day8,0.162,162,5.08759634,0.227,NA,0.01194,-4.4278612,A1,8,Apo,PDS,Elevated (30C),A1,9,22,N,EC
G6166,Day0,0.093,93,4.53259949,NA,0.6393,NA,NA,A18,3,Apo,Control,Ambient (19C),Tray,91,22,N,NA
G6166,Day1,NA,NA,NA,NA,NA,NA,NA,A18,3,Apo,Control,Ambient (19C),Tray,91,22,N,NA
G6166,Day15,NA,NA,NA,NA,NA,NA,NA,A18,3,Apo,Control,Ambient (19C),Tray,91,22,N,NA
G6166,Day22,0.074,74,4.30406509,0.112,0.56227,NA,NA,A18,3,Apo,Control,Ambient (19C),Tray,91,22,N,NA
G6166,Day8,NA,NA,NA,NA,NA,NA,NA,A18,3,Apo,Control,Ambient (19C),Tray,91,22,N,NA
G618,Day0,0.167,167,5.11799381,NA,0.32854,NA,NA,A19,4,Apo,Control,Ambient (19C),Tray,90,22,N,NA
G618,Day1,NA,NA,NA,NA,NA,NA,NA,A19,4,Apo,Control,Ambient (19C),Tray,90,22,N,NA
G618,Day15,NA,NA,NA,NA,NA,NA,NA,A19,4,Apo,Control,Ambient (19C),Tray,90,22,N,NA
G618,Day22,0.147,147,4.99043259,0.094,0.45957,NA,NA,A19,4,Apo,Control,Ambient (19C),Tray,90,22,N,NA
G618,Day8,NA,NA,NA,NA,NA,NA,NA,A19,4,Apo,Control,Ambient (19C),Tray,90,22,N,NA
G62,Day0,0.228,228,5.42934563,NA,0.4374,NA,NA,A2,4,Apo,PDS,Elevated (30C),A1,9,7,N,NA
G62,Day1,NA,NA,NA,0.123,0.29568,NA,NA,A2,4,Apo,PDS,Elevated (30C),A1,9,7,N,NA
G62,Day15,NA,NA,NA,NA,NA,NA,NA,A2,4,Apo,PDS,Elevated (30C),A1,9,7,N,NA
G62,Day22,NA,NA,NA,NA,NA,NA,NA,A2,4,Apo,PDS,Elevated (30C),A1,9,7,N,NA
G62,Day8,NA,NA,NA,NA,NA,NA,NA,A2,4,Apo,PDS,Elevated (30C),A1,9,7,N,NA
G63,Day0,0.144,144,4.9698133,NA,0.55261,NA,NA,A2,12,Apo,PDS,Elevated (30C),A1,9,22,N,SW
G63,Day1,NA,NA,NA,0.142,0.56376,NA,NA,A2,12,Apo,PDS,Elevated (30C),A1,9,22,N,SW
G63,Day15,0.107,107,4.67282883,0.112,NA,0.0051,-5.2785147,A2,12,Apo,PDS,Elevated (30C),A1,9,22,N,SW
G63,Day22,0.104,104,4.6443909,0.1,0.53943,0.00308,-5.7828257,A2,12,Apo,PDS,Elevated (30C),A1,9,22,N,SW
G63,Day8,0.113,113,4.72738782,0.378,NA,0.00632,-5.0640361,A2,12,Apo,PDS,Elevated (30C),A1,9,22,N,SW
G64,Day0,0.205,205,5.32300998,NA,0.49404,NA,NA,A3,6,Apo,PDS,Elevated (30C),A1,9,22,N,EC
G64,Day1,NA,NA,NA,0.107,0.60732,NA,NA,A3,6,Apo,PDS,Elevated (30C),A1,9,22,N,EC
G64,Day15,0.16,160,5.07517382,0.061,NA,0.00314,-5.7635325,A3,6,Apo,PDS,Elevated (30C),A1,9,22,N,EC
G64,Day22,0.161,161,5.08140436,0.095,0.55226,0.09468,-2.3572525,A3,6,Apo,PDS,Elevated (30C),A1,9,22,N,EC
G64,Day8,0.165,165,5.10594547,0.293,NA,0.10148,-2.2878935,A3,6,Apo,PDS,Elevated (30C),A1,9,22,N,EC
G65,Day0,0.265,265,5.57972983,NA,0.56277,NA,NA,A1,1,Apo,PLS,Elevated (30C),B1,10,22,N,SW
G65,Day1,NA,NA,NA,0.095,0.52436,NA,NA,A1,1,Apo,PLS,Elevated (30C),B1,10,22,N,SW
G65,Day15,0.235,235,5.45958551,0.202,NA,0.00312,-5.7699223,A1,1,Apo,PLS,Elevated (30C),B1,10,22,N,SW
G65,Day22,0.232,232,5.44673737,0.09,0.47256,0.00512,-5.2746008,A1,1,Apo,PLS,Elevated (30C),B1,10,22,N,SW
G65,Day8,0.249,249,5.5174529,0.196,NA,0.01188,-4.432899,A1,1,Apo,PLS,Elevated (30C),B1,10,22,N,SW
G6642,Day0,0.14,140,4.94164242,NA,0.62519,NA,NA,A18,5,Apo,Control,Ambient (19C),Tray,93,22,N,NA
G6642,Day1,NA,NA,NA,NA,NA,NA,NA,A18,5,Apo,Control,Ambient (19C),Tray,93,22,N,NA
G6642,Day15,NA,NA,NA,NA,NA,NA,NA,A18,5,Apo,Control,Ambient (19C),Tray,93,22,N,NA
G6642,Day22,0.129,129,4.8598124,0.15,0.57369,NA,NA,A18,5,Apo,Control,Ambient (19C),Tray,93,22,N,NA
G6642,Day8,NA,NA,NA,NA,NA,NA,NA,A18,5,Apo,Control,Ambient (19C),Tray,93,22,N,NA
G67,Day0,0.302,302,5.71042702,NA,0.52562,NA,NA,A1,9,Apo,PLS,Elevated (30C),B1,10,22,N,EC
G67,Day1,NA,NA,NA,0.14,0.57866,NA,NA,A1,9,Apo,PLS,Elevated (30C),B1,10,22,N,EC
G67,Day15,0.253,253,5.53338949,0.216,NA,0.05956,-2.8207711,A1,9,Apo,PLS,Elevated (30C),B1,10,22,N,EC
G67,Day22,0.258,258,5.55295958,0.056,0.50671,0.04069,-3.2017729,A1,9,Apo,PLS,Elevated (30C),B1,10,22,N,EC
G67,Day8,0.28,280,5.6347896,0.179,NA,0.0126,-4.3740585,A1,9,Apo,PLS,Elevated (30C),B1,10,22,N,EC
G6775,Day0,0.225,225,5.4161004,NA,0.45112,NA,NA,A20,5,Apo,Control,Ambient (19C),Tray,92,22,N,NA
G6775,Day1,NA,NA,NA,NA,NA,NA,NA,A20,5,Apo,Control,Ambient (19C),Tray,92,22,N,NA
G6775,Day15,NA,NA,NA,NA,NA,NA,NA,A20,5,Apo,Control,Ambient (19C),Tray,92,22,N,NA
G6775,Day22,0.191,191,5.25227343,0.12,0.5177,NA,NA,A20,5,Apo,Control,Ambient (19C),Tray,92,22,N,NA
G6775,Day8,NA,NA,NA,NA,NA,NA,NA,A20,5,Apo,Control,Ambient (19C),Tray,92,22,N,NA
G681,Day0,0.176,176,5.170484,NA,0.52615,NA,NA,A20,3,Apo,Control,Ambient (19C),Tray,90,22,N,NA
G681,Day1,NA,NA,NA,NA,NA,NA,NA,A20,3,Apo,Control,Ambient (19C),Tray,90,22,N,NA
G681,Day15,NA,NA,NA,NA,NA,NA,NA,A20,3,Apo,Control,Ambient (19C),Tray,90,22,N,NA
G681,Day22,0.166,166,5.11198779,0.09,0.60077,NA,NA,A20,3,Apo,Control,Ambient (19C),Tray,90,22,N,NA
G681,Day8,NA,NA,NA,NA,NA,NA,NA,A20,3,Apo,Control,Ambient (19C),Tray,90,22,N,NA
G6961,Day0,0.176,176,5.170484,NA,0.5059,NA,NA,A18,2,Apo,Control,Ambient (19C),Tray,90,22,N,SW
G6961,Day1,NA,NA,NA,NA,NA,NA,NA,A18,2,Apo,Control,Ambient (19C),Tray,90,22,N,SW
G6961,Day15,NA,NA,NA,NA,NA,NA,NA,A18,2,Apo,Control,Ambient (19C),Tray,90,22,N,SW
G6961,Day22,0.164,164,5.09986643,0.101,0.54788,0.00642,-5.0483372,A18,2,Apo,Control,Ambient (19C),Tray,90,22,N,SW
G6961,Day8,NA,NA,NA,NA,NA,NA,NA,A18,2,Apo,Control,Ambient (19C),Tray,90,22,N,SW
G6991,Day0,0.224,224,5.41164605,NA,0.55933,NA,NA,A20,6,Apo,Control,Ambient (19C),Tray,93,22,N,SW
