input.rate,converted.rate,volumetric,mass.specific,input.o2.unit,input.time.unit,output.unit,vial,B.TAG,Day,Sym.state,Bacteria,Treatment,Plastic,Light,Food,Temperature
-1.90168,-4.28192,-8.13565,-0.05388,%,min,umol/min/g,B5,Y23,8,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.82441,-1.85628,-3.52693,-0.0126,%,min,umol/min/g,C2,G67,8,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.57021,-1.28392,-2.43945,-0.01427,%,min,umol/min/g,C3,G71,8,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.54546,-1.22818,-2.33355,-0.02954,%,min,umol/min/g,C4,B71,8,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.79698,-1.79452,-3.23013,-0.00718,%,min,umol/min/g,C5,B73,8,apo,EC,PLS,Plastic,Light,Starved,Elevated
-1.27271,-2.8657,-5.44483,-0.04776,%,min,umol/min/g,C6,B75,8,apo,EC,PLS,Plastic,Light,Starved,Elevated
-1.54825,-3.48611,-6.62361,-0.03169,%,min,umol/min/g,D2,W65,8,apo,EC,PLS,Plastic,Light,Starved,Elevated
-1.54825,-3.48611,-6.62361,-0.0345,%,min,umol/min/g,D3,W70,8,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.18499,-0.41653,-0.79141,-0.00524,%,min,umol/min/g,D4,Y60,8,apo,EC,PLS,Plastic,Light,Starved,Elevated
-2.1796,-4.90768,-9.3246,-0.03454,%,min,umol/min/g,D5,Y63,8,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.2043,-0.46001,-0.87403,-0.0078,%,min,umol/min/g,D6,Y65,8,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.4983,-1.12199,-2.13179,-0.00745,%,min,umol/min/g,A2,G28,8,sym,SW,PLS,Plastic,Light,Starved,Elevated
-1.00931,-2.27262,-4.31797,-0.01416,%,min,umol/min/g,A3,G30,8,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.27599,-0.62144,-1.18074,-0.01125,%,min,umol/min/g,A4,G32,8,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.49949,-1.12468,-2.13689,-0.01327,%,min,umol/min/g,A5,B28,8,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.41749,-0.94004,-1.78607,-0.01669,%,min,umol/min/g,A6,B31,8,sym,SW,PLS,Plastic,Light,Starved,Elevated
-1.11455,-2.50958,-4.76821,-0.01962,%,min,umol/min/g,B2,W24,8,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.86787,-1.95414,-3.71287,-0.01614,%,min,umol/min/g,B3,W26,8,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.2923,-0.65816,-1.25051,-0.00802,%,min,umol/min/g,B4,Y22,8,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.18195,-0.4097,-0.77843,-0.00786,%,min,umol/min/g,B5,Y24,8,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.69118,-1.5563,-2.95697,-0.01188,%,min,umol/min/g,C2,G65,8,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.41978,-0.9452,-1.79588,-0.00764,%,min,umol/min/g,C3,G70,8,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.73801,-1.66173,-3.15728,-0.02011,%,min,umol/min/g,C4,G73,8,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.1625,-0.3659,-0.69521,-0.0079,%,min,umol/min/g,C5,B72,8,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.15713,-0.35381,-0.67224,-0.00513,%,min,umol/min/g,C6,B74,8,apo,SW,PLS,Plastic,Light,Starved,Elevated
-1.97616,-4.44961,-8.45426,-0.04697,%,min,umol/min/g,D2,W64,8,apo,SW,PLS,Plastic,Light,Starved,Elevated
-1.97616,-4.44961,-8.45426,-0.05284,%,min,umol/min/g,D3,W67,8,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.32718,-0.73669,-1.39972,-0.00859,%,min,umol/min/g,D4,W71,8,apo,SW,PLS,Plastic,Light,Starved,Elevated
-2.44669,-5.50908,-10.4673,-0.03432,%,min,umol/min/g,D5,Y62,8,apo,SW,PLS,Plastic,Light,Starved,Elevated
-1.02418,-2.30608,-3.92034,-0.0245,%,min,umol/min/g,D6,Y64,8,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.2519,-0.57901,-1.10012,-0.00582,%,min,umol/min/g,A2,G29,15,sym,EC,PLS,Plastic,Light,Starved,Elevated
-2.06224,-4.74028,-9.00654,-0.03833,%,min,umol/min/g,A3,G31,15,sym,EC,PLS,Plastic,Light,Starved,Elevated
-1.22529,-2.81647,-5.35129,-0.03204,%,min,umol/min/g,A4,B27,15,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.22241,-0.51123,-0.97134,-0.00908,%,min,umol/min/g,A5,B30,15,sym,EC,PLS,Plastic,Light,Starved,Elevated
-3.48646,-8.014,-15.2266,-0.12689,%,min,umol/min/g,A6,W23,15,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.44669,-1.02676,-1.95084,-0.01006,%,min,umol/min/g,B2,W25,15,sym,EC,PLS,Plastic,Light,Starved,Elevated
-1.31314,-3.01839,-5.73494,-0.024,%,min,umol/min/g,B3,W27,15,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.67421,-1.54976,-2.94453,-0.02726,%,min,umol/min/g,B4,Y21,15,sym,EC,PLS,Plastic,Light,Starved,Elevated
-1.33563,-3.07008,-5.83315,-0.03739,%,min,umol/min/g,B5,Y23,15,sym,EC,PLS,Plastic,Light,Starved,Elevated
-3.45023,-7.93074,-15.0684,-0.05956,%,min,umol/min/g,C2,G67,15,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.22365,-0.51409,-0.97677,-0.00581,%,min,umol/min/g,C3,G71,15,apo,EC,PLS,Plastic,Light,Starved,Elevated
-5.17503,-11.8954,-21.4117,-0.05098,%,min,umol/min/g,C4,B73,15,apo,EC,PLS,Plastic,Light,Starved,Elevated
-8.78788,-20.1999,-38.3798,-0.36904,%,min,umol/min/g,C5,B75,15,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.66949,-1.53888,-2.92388,-0.0144,%,min,umol/min/g,C6,W65,15,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.07993,-0.18373,-0.34909,-0.00266,%,min,umol/min/g,D2,Y60,15,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.07993,-0.18373,-0.34909,-0.00314,%,min,umol/min/g,D3,Y65,15,apo,EC,PLS,Plastic,Light,Starved,Elevated
-0.2396,-0.55075,-1.04642,-0.00378,%,min,umol/min/g,A2,G28,15,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.9849,-2.2639,-4.30141,-0.01434,%,min,umol/min/g,A3,G30,15,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.0909,-0.20893,-0.39697,-0.00385,%,min,umol/min/g,A4,G32,15,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.1583,-0.36386,-0.69134,-0.00455,%,min,umol/min/g,A5,B28,15,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.20585,-0.47318,-0.89904,-0.00848,%,min,umol/min/g,A6,B31,15,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.34294,-0.78829,-1.49776,-0.00587,%,min,umol/min/g,B2,W24,15,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.18992,-0.43655,-0.82945,-0.00386,%,min,umol/min/g,B3,W26,15,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.16859,-0.38752,-0.73629,-0.00472,%,min,umol/min/g,B4,Y22,15,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.0924,-0.2124,-0.40356,-0.00416,%,min,umol/min/g,B5,Y24,15,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.1678,-0.38572,-0.73286,-0.00312,%,min,umol/min/g,C2,G65,15,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.19293,-0.44346,-0.84258,-0.00394,%,min,umol/min/g,C3,G70,15,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.08748,-0.20107,-0.38203,-0.00332,%,min,umol/min/g,C4,G73,15,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.12666,-0.29114,-0.55316,-0.00432,%,min,umol/min/g,C6,B74,15,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.05742,-0.13198,-0.25076,-0.00155,%,min,umol/min/g,D2,W64,15,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.05742,-0.13198,-0.25076,-0.00162,%,min,umol/min/g,D3,W67,15,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.17898,-0.41141,-0.78168,-0.00508,%,min,umol/min/g,D4,W71,15,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.15715,-0.36123,-0.68634,-0.00508,%,min,umol/min/g,D5,Y64,15,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.23242,-0.52321,-0.9941,-0.00365,%,min,umol/min/g,A2,G28,22,sym,SW,PLS,Plastic,Light,Starved,Elevated
-1.26822,-2.85495,-5.42441,-0.0191,%,min,umol/min/g,A3,G30,22,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.13393,-0.3015,-0.57285,-0.00579,%,min,umol/min/g,A4,G32,22,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.13566,-0.3054,-0.58026,-0.00395,%,min,umol/min/g,A5,B28,22,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.20765,-0.46746,-0.88817,-0.0083,%,min,umol/min/g,A6,B31,22,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.25639,-0.57718,-1.09664,-0.00453,%,min,umol/min/g,B2,W24,22,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.14969,-0.33698,-0.64025,-0.0043,%,min,umol/min/g,B4,Y22,22,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.13977,-0.31465,-0.59783,-0.00623,%,min,umol/min/g,B5,Y24,22,sym,SW,PLS,Plastic,Light,Starved,Elevated
-0.27758,-0.62488,-1.18727,-0.00512,%,min,umol/min/g,C2,G65,22,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.26414,-0.59462,-1.12977,-0.00523,%,min,umol/min/g,C3,G70,22,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.14495,-0.32631,-0.61998,-0.00554,%,min,umol/min/g,C4,G73,22,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.12555,-0.28264,-0.53701,-0.00423,%,min,umol/min/g,C5,B74,22,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.4037,-0.90879,-1.72669,-0.01072,%,min,umol/min/g,C6,W64,22,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.17,-0.38271,-0.72714,-0.00472,%,min,umol/min/g,D2,W71,22,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.17,-0.38271,-0.72714,-0.00555,%,min,umol/min/g,D3,Y64,22,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.13945,-0.31392,-0.59644,-0.00377,%,min,umol/min/g,D4,W67,22,apo,SW,PLS,Plastic,Light,Starved,Elevated
-0.46138,-1.03864,-1.97342,-0.01067,%,min,umol/min/g,A2,G29,22,sym,EC,PLS,Plastic,Light,Starved,Elevated
-2.60914,-5.87358,-11.1598,-0.04873,%,min,umol/min/g,A3,G31,22,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.33398,-0.75184,-1.42849,-0.00845,%,min,umol/min/g,A4,B27,22,sym,EC,PLS,Plastic,Light,Starved,Elevated
-1.32443,-2.98149,-5.66482,-0.0578,%,min,umol/min/g,A5,B30,22,sym,EC,PLS,Plastic,Light,Starved,Elevated
-0.17424,-0.39225,-0.74527,-0.00621,%,min,umol/min/g,A6,W23,22,sym,EC,PLS,Plastic,Light,Starved,Elevated
