"","Time.Elapsed.Min","vial","value","sym.state"
"324",80.75,"A2",56.8038743455497,"apo"
"325",81,"A2",55.9338743455497,"apo"
"326",81.25,"A2",56.8038743455497,"apo"
"327",81.5,"A2",56.6638743455497,"apo"
"328",81.75,"A2",56.8038743455497,"apo"
"329",82,"A2",56.5138743455497,"apo"
"330",82.25,"A2",56.2238743455497,"apo"
"331",82.5,"A2",57.1038743455497,"apo"
"332",82.75,"A2",56.8038743455497,"apo"
"333",83,"A2",56.3738743455497,"apo"
"334",83.25,"A2",56.6638743455497,"apo"
"335",83.5,"A2",56.9538743455497,"apo"
"336",83.75,"A2",57.2438743455497,"apo"
"337",84,"A2",56.6638743455497,"apo"
"338",84.25,"A2",56.6638743455497,"apo"
"339",84.5,"A2",57.1038743455497,"apo"
"340",84.75,"A2",56.3738743455497,"apo"
"341",85,"A2",56.8038743455497,"apo"
"342",85.25,"A2",56.0838743455497,"apo"
"343",85.5,"A2",56.6638743455497,"apo"
"344",85.75,"A2",55.9338743455497,"apo"
"345",86,"A2",55.6438743455497,"apo"
"346",86.25,"A2",55.9338743455497,"apo"
"347",86.5,"A2",55.2138743455497,"apo"
"348",86.75,"A2",55.6438743455497,"apo"
"349",87,"A2",54.3438743455497,"apo"
"350",87.25,"A2",54.3438743455497,"apo"
"351",87.5,"A2",54.6338743455497,"apo"
"352",87.75,"A2",54.2038743455497,"apo"
"353",88,"A2",53.0438743455497,"apo"
"354",88.25,"A2",52.9038743455497,"apo"
"355",88.5,"A2",52.9038743455497,"apo"
"356",88.75,"A2",52.6138743455497,"apo"
"357",89,"A2",52.6138743455497,"apo"
"358",89.25,"A2",52.7638743455497,"apo"
"359",89.5,"A2",52.0438743455497,"apo"
"360",89.75,"A2",52.4738743455497,"apo"
"361",90,"A2",51.8938743455497,"apo"
"362",90.25,"A2",51.7538743455497,"apo"
"363",90.5,"A2",52.0438743455497,"apo"
"364",90.75,"A2",52.3238743455497,"apo"
"365",91,"A2",51.8938743455497,"apo"
"366",91.25,"A2",52.3238743455497,"apo"
"367",91.5,"A2",51.4738743455497,"apo"
"368",91.75,"A2",51.6138743455497,"apo"
"369",92,"A2",52.0438743455497,"apo"
