"","Colony","Fragment","BTag","Phenotype","Treatment","Temperature","Tank","Tile","DaysAlive","Censored","MassG.day0","MassG.day8","MassG.day15","MassG.day22","FvFm.day1","FvFm.day8","FvFm.day15","FvFm.day22","CoralR.day0","CoralR.day1","CoralR.day22","Bacteria","MR.day8","MR.day15","MR.day22"
"132","S22",4,"G49","Sym","NDF","Elevated (30C)","G1",7,18,"N",0.341,0.36,0.297,NA,0.156,0.261,0.054,NA,0.38987,0.31797,NA,"SW",-0.05868,-0.00238,NA
"133","S25",3,"G50","Sym","NDF","Elevated (30C)","G1",7,19,"N",0.356,0.366,0.347,NA,0.292,0.268,0.096,NA,0.37182,0.33673,NA,"EC",NA,-0.00519,NA
"134","S27",4,"G51","Sym","NDF","Elevated (30C)","G1",7,15,"Y",0.147,0.136,NA,NA,0.367,0.255,0.086,NA,0.30692,0.44137,NA,"SW",-0.01574,NA,NA
"135","S28",5,"G52","Sym","NDF","Elevated (30C)","G1",7,22,"N",0.193,0.189,0.166,0.16,0.376,0.352,0.086,0.291,0.25871,0.43578,0.58423,"EC",NA,-0.00494,-0.00485
"136","S29",7,"G53","Sym","NDF","Elevated (30C)","G1",7,15,"Y",0.149,0.13,NA,NA,0.392,0.302,0.14,NA,0.30652,0.37129,NA,"SW",-0.00517,NA,NA
"137","S23",1,"G54","Sym","NLF","Elevated (30C)","H1",8,22,"N",0.267,0.248,0.248,0.243,0.183,0.224,0.081,0.298,0.44725,0.30058,0.43386,"SW",-0.0058,-0.00842,-0.00623
"138","S25",4,"G55","Sym","NLF","Elevated (30C)","H1",8,22,"N",0.341,0.252,0.245,0.256,0.301,0.133,0.061,0.151,0.24048,0.36778,0.50942,"EC",-0.00867,-0.02702,-0.00966
"139","S27",5,"G56","Sym","NLF","Elevated (30C)","H1",8,22,"N",0.226,0.214,0.23,0.207,0.276,0.169,0.056,0.367,0.22772,0.36401,0.39221,"SW",-0.00192,-0.0064,-0.00553
"140","S28",6,"G57","Sym","NLF","Elevated (30C)","H1",8,17,"N",0.125,0.117,0.127,NA,0.249,0.166,0.084,NA,0.42219,0.48907,NA,"EC",-0.00753,-0.02806,NA
"141","S29",8,"G58","Sym","NLF","Elevated (30C)","H1",8,22,"N",0.228,0.203,0.215,0.217,0.348,0.218,0.142,0.284,0.24794,0.27658,0.35685,"SW",-0.00413,-0.00492,-0.00985
"142","M1",8,"G59","Apo","PDS","Elevated (30C)","A1",9,22,"N",0.062,0.055,0.054,0.051,0.199,0.295,0.181,0.055,0.63394,0.49302,0.5943,"SW",-0.00475,-0.00326,-0.00304
"143","A1",8,"G60","Apo","PDS","Elevated (30C)","A1",9,22,"N",0.173,0.162,0.152,0.149,0.062,0.227,0.123,0.056,0.46845,0.52364,0.45186,"EC",-0.01194,-0.02182,-0.00702
"144","A18",3,"G6166","Apo","Control","Ambient (19C)","Tray",91,22,"N",0.093,NA,NA,0.074,NA,NA,NA,0.112,0.6393,NA,0.56227,NA,NA,NA,NA
"145","A19",4,"G618","Apo","Control","Ambient (19C)","Tray",90,22,"N",0.167,NA,NA,0.147,NA,NA,NA,0.094,0.32854,NA,0.45957,NA,NA,NA,NA
"146","A2",4,"G62","Apo","PDS","Elevated (30C)","A1",9,7,"N",0.228,NA,NA,NA,0.123,NA,NA,NA,0.4374,0.29568,NA,NA,NA,NA,NA
"147","A2",12,"G63","Apo","PDS","Elevated (30C)","A1",9,22,"N",0.144,0.113,0.107,0.104,0.142,0.378,0.112,0.1,0.55261,0.56376,0.53943,"SW",-0.00632,-0.0051,-0.00308
"148","A3",6,"G64","Apo","PDS","Elevated (30C)","A1",9,22,"N",0.205,0.165,0.16,0.161,0.107,0.293,0.061,0.095,0.49404,0.60732,0.55226,"EC",-0.10148,-0.00314,-0.09468
"149","A1",1,"G65","Apo","PLS","Elevated (30C)","B1",10,22,"N",0.265,0.249,0.235,0.232,0.095,0.196,0.202,0.09,0.56277,0.52436,0.47256,"SW",-0.01188,-0.00312,-0.00512
"150","A18",5,"G6642","Apo","Control","Ambient (19C)","Tray",93,22,"N",0.14,NA,NA,0.129,NA,NA,NA,0.15,0.62519,NA,0.57369,NA,NA,NA,NA
"151","A1",9,"G67","Apo","PLS","Elevated (30C)","B1",10,22,"N",0.302,0.28,0.253,0.258,0.14,0.179,0.216,0.056,0.52562,0.57866,0.50671,"EC",-0.0126,-0.05956,-0.04069
"152","A20",5,"G6775","Apo","Control","Ambient (19C)","Tray",92,22,"N",0.225,NA,NA,0.191,NA,NA,NA,0.12,0.45112,NA,0.5177,NA,NA,NA,NA
"153","A20",3,"G681","Apo","Control","Ambient (19C)","Tray",90,22,"N",0.176,NA,NA,0.166,NA,NA,NA,0.09,0.52615,NA,0.60077,NA,NA,NA,NA
"154","A18",2,"G6961","Apo","Control","Ambient (19C)","Tray",90,22,"N",0.176,NA,NA,0.164,NA,NA,NA,0.101,0.5059,NA,0.54788,"SW",NA,NA,-0.00642
"155","A20",6,"G6991","Apo","Control","Ambient (19C)","Tray",93,22,"N",0.224,NA,NA,0.184,NA,NA,NA,0.284,0.55933,NA,0.51367,"SW",NA,NA,-0.04017
"156","A2",5,"G70","Apo","PLS","Elevated (30C)","B1",10,22,"N",0.244,0.235,0.214,0.216,0.092,0.14,0.26,0.1,0.53994,0.5514,0.46925,"SW",-0.00764,-0.00394,-0.00523
"157","A2",13,"G71","Apo","PLS","Elevated (30C)","B1",10,22,"N",0.229,0.171,0.168,0.165,0.178,0.141,0.339,0.122,0.50063,0.46127,0.46088,"EC",-0.01427,-0.00581,-0.00835
"158","A3",7,"G73","Apo","PLS","Elevated (30C)","B1",10,22,"N",0.159,0.157,0.115,0.112,0.141,0.088,0.166,0.075,0.31059,0.49866,0.52518,"SW",-0.02011,-0.00332,-0.00554
"159","A1",2,"G74","Apo","NDS","Elevated (30C)","C1",11,8,"Y",0.225,NA,NA,NA,0.032,0.178,NA,NA,0.53496,0.50652,NA,NA,NA,NA,NA
"160","A23",1,"G7472","Apo","Control","Ambient (19C)","Tray",92,22,"N",0.453,NA,NA,0.439,NA,NA,NA,0.089,0.58879,NA,0.5349,NA,NA,NA,NA
"161","A1",10,"G75","Apo","NDS","Elevated (30C)","C1",11,22,"N",0.227,0.221,0.202,0.201,0.081,0.089,0.121,0.14,0.58093,0.57008,0.51934,"EC",-0.01081,-0.07512,-0.01245
"162","A2",6,"G76","Apo","NDS","Elevated (30C)","C1",11,22,"N",0.091,0.084,0.079,0.074,0.119,0.263,0.403,0.319,0.57563,0.54829,0.49114,"SW",-0.00247,-0.00235,-0.00251
"163","A21",5,"G7673","Apo","Control","Ambient (19C)","Tray",92,22,"N",0.252,NA,NA,0.243,NA,NA,NA,0.265,0.29934,NA,0.39538,"EC",NA,NA,-0.05421
"164","A2",14,"G77","Apo","NDS","Elevated (30C)","C1",11,22,"N",0.238,0.219,0.208,0.207,0.121,0.109,0.222,0.149,0.53493,0.51453,0.42989,"EC",-0.00547,-0.00669,-0.00524
"165","A3",8,"G78","Apo","NDS","Elevated (30C)","C1",11,22,"N",0.155,0.152,0.14,0.136,0.109,0.09,0.118,0.144,0.33335,0.66199,0.44979,"SW",-0.00723,-0.00255,-0.00239
"166","A1",3,"G79","Apo","NLS","Elevated (30C)","D1",12,22,"N",0.177,0.174,0.164,0.165,0.129,0.4,0.31,0.337,0.48458,0.51893,0.26868,"SW",-0.02458,-0.01828,-0.06412
"167","A1",11,"G80","Apo","NLS","Elevated (30C)","D1",12,22,"N",0.228,0.208,0.229,0.218,0.069,0.299,0.283,0.185,0.52352,0.70415,0.54659,"EC",-0.02817,-0.04441,-0.02759
"168","A18",4,"G8171","Apo","Control","Ambient (19C)","Tray",92,22,"N",0.133,NA,NA,0.114,NA,NA,NA,0.124,0.52968,NA,0.59879,"SW",NA,NA,-0.00758
"169","A19",7,"G8180","Apo","Control","Ambient (19C)","Tray",93,22,"N",0.164,NA,NA,0.129,NA,NA,NA,0.165,0.56051,NA,0.49573,"EC",NA,NA,-0.00966
"170","A2",7,"G82","Apo","NLS","Elevated (30C)","D1",12,8,"Y",0.12,NA,NA,NA,0.087,0.33,NA,NA,0.56575,0.64741,NA,"EC",-0.02497,-0.01288,-0.0725
"171","A3",1,"G83","Apo","NLS","Elevated (30C)","D1",12,22,"N",0.194,0.203,0.198,0.2,0.093,0.286,0.104,0.136,0.52242,0.7262,0.47991,NA,NA,NA,NA
"172","A3",9,"G84","Apo","NLS","Elevated (30C)","D1",12,22,"N",0.199,0.297,0.272,0.279,0.071,0.239,0.373,0.266,0.36577,0.52489,0.42314,"SW",-0.007,-0.02385,-0.0177
"173","A1",4,"G85","Apo","PDF","Elevated (30C)","E1",13,22,"N",0.071,0.061,0.057,0.04,0.13,0.167,0.134,0.168,0.6139,0.59514,0.50792,"SW",-0.00633,-0.00513,-0.00316
"174","A19",6,"G8677","Apo","Control","Ambient (19C)","Tray",92,22,"N",0.594,NA,NA,0.525,NA,NA,NA,0.083,0.48506,NA,0.49585,NA,NA,NA,NA
"175","A1",12,"G87","Apo","PDF","Elevated (30C)","E1",13,22,"N",0.271,0.259,0.249,0.244,0.12,0.098,0.141,0.332,0.48216,0.56758,0.52655,"EC",-0.02885,-0.02835,-0.01415
"176","A2",8,"G88","Apo","PDF","Elevated (30C)","E1",13,21,"N",0.145,0.129,0.124,NA,0.101,0.181,0.253,NA,0.61776,0.59363,NA,"SW",-0.00941,-0.00736,NA
"177","A22",5,"G8965","Apo","Control","Ambient (19C)","Tray",91,22,"N",0.24,NA,NA,0.223,NA,NA,NA,0.085,0.54665,NA,0.55253,NA,NA,NA,NA
"178","A3",2,"G90","Apo","PDF","Elevated (30C)","E1",13,22,"N",0.108,0.105,0.097,0.097,0.185,0.095,0.203,0.096,0.42991,0.57555,0.56415,"SW",-0.00689,-0.00498,-0.00418
"179","A22",4,"G9116","Apo","Control","Ambient (19C)","Tray",90,22,"N",0.281,NA,NA,0.267,NA,NA,NA,0.115,0.54342,NA,0.5371,"EC",NA,NA,-0.04033
"180","A3",10,"G92","Apo","PDF","Elevated (30C)","E1",13,22,"N",0.134,0.131,0.121,0.119,0.052,0.123,0.167,0.396,0.50215,0.57115,0.56077,"EC",-0.02281,-0.0118,-0.00708
"181","A1",5,"G93","Apo","PLF","Elevated (30C)","F1",14,22,"N",0.128,0.209,0.102,0.087,0.217,0.112,0.233,0.29,0.53324,0.40193,0.41127,"SW",-0.00866,-0.00879,-0.0116
"182","A2",1,"G94","Apo","PLF","Elevated (30C)","F1",14,8,"N",0.078,NA,NA,NA,0.314,0.46,NA,NA,0.51344,0.37181,NA,NA,NA,NA,NA
"183","A2",9,"G95","Apo","PLF","Elevated (30C)","F1",14,22,"N",0.167,0.16,0.154,0.149,0.155,0.176,0.184,0.102,0.54777,0.65597,0.59036,"SW",-0.0074,-0.00707,-0.00509
"184","A21",4,"G9669","Apo","Control","Ambient (19C)","Tray",91,22,"N",0.433,NA,NA,0.403,NA,NA,NA,0.081,0.24758,NA,0.30981,"SW",NA,NA,-0.06001
"185","A3",3,"G97","Apo","PLF","Elevated (30C)","F1",14,22,"N",0.174,0.158,0.158,0.164,0.204,0.128,0.256,0.257,0.49655,0.58108,0.48892,"EC",-0.01933,-0.01206,-0.02459
"186","A3",11,"G98","Apo","PLF","Elevated (30C)","F1",14,22,"N",0.212,0.197,0.199,0.2,0.227,0.195,0.158,0.093,0.49683,0.67788,0.55115,"SW",-0.00571,-0.00503,-0.00558
"187","A21",3,"G9868","Apo","Control","Ambient (19C)","Tray",90,22,"N",0.093,NA,NA,0.074,NA,NA,NA,0.21,0.43873,NA,0.56423,NA,NA,NA,NA
"188","A21",6,"G9877","Apo","Control","Ambient (19C)","Tray",93,22,"N",0.137,NA,NA,0.142,NA,NA,NA,0.116,0.27953,NA,0.41292,"EC",NA,NA,-0.03113
"189","A19",9,"O1618","Apo","Control","Ambient (19C)","Tray",95,22,"N",0.6,NA,NA,0.504,NA,NA,NA,0.131,0.59009,NA,0.42886,NA,NA,NA,NA
"190","A21",7,"O1962","Apo","Control","Ambient (19C)","Tray",94,22,"N",0.042,NA,NA,0.042,NA,NA,NA,0.294,0.45072,NA,0.48339,NA,NA,NA,NA
"191","A13",21,"O26","Apo","NDF","Elevated (30C)","G4",63,12,"N",0.21,0.174,NA,NA,0.26,0.318,NA,NA,0.37646,0.43609,NA,NA,NA,NA,NA
"192","A12",8,"O27","Apo","NLF","Elevated (30C)","H4",64,22,"N",0.442,0.397,0.423,0.415,0.103,0.171,0.336,0.415,0.41958,0.53559,0.35608,"SW",-0.00224,-0.00349,-0.02497
"193","A12",16,"O29","Apo","NLF","Elevated (30C)","H4",64,22,"N",0.178,0.162,0.179,0.177,0.103,0.206,0.443,0.343,0.58476,0.60046,0.28939,"EC",-0.01677,-0.01081,-0.00653
"194","A13",6,"O30","Apo","NLF","Elevated (30C)","H4",64,0,"N",0.178,0.155,NA,NA,0.205,0.088,NA,NA,0.30865,0.50776,NA,"SW",-0.00643,NA,NA
"195","A25",4,"O31","Apo","NLF","Elevated (30C)","H4",64,10,"N",0.335,0.281,NA,NA,0.142,0.164,NA,NA,0.3107,0.39395,NA,"EC",-0.02204,NA,NA
"196","A14",1,"O32","Apo","NLF","Elevated (30C)","H4",64,5,"N",0.332,NA,NA,NA,0.164,NA,NA,NA,0.469,0.52443,NA,NA,NA,NA,NA
"197","S14",1,"O33","Sym","Control","Ambient (19C)","Tray",65,22,"N",0.132,NA,NA,0.122,NA,NA,NA,0.41,0.2564,NA,0.2606,"SW",NA,NA,-0.0349
"198","S14",9,"O34","Sym","Control","Ambient (19C)","Tray",65,22,"N",0.274,NA,NA,0.264,NA,NA,NA,0.378,0.24638,NA,0.3091,NA,NA,NA,NA
"199","S14",17,"O35","Sym","Control","Ambient (19C)","Tray",65,22,"N",0.315,NA,NA,0.301,NA,NA,NA,0.386,0.26017,NA,0.27871,NA,NA,NA,NA
"200","S15",8,"O36","Sym","Control","Ambient (19C)","Tray",65,22,"N",0.104,NA,NA,0.102,NA,NA,NA,0.399,0.30433,NA,0.28531,"EC",NA,NA,-0.01788
"201","S16",3,"O37","Sym","Control","Ambient (19C)","Tray",65,22,"N",0.11,NA,NA,0.106,NA,NA,NA,0.438,0.39194,NA,0.33543,NA,NA,NA,NA
"202","S14",2,"O38","Sym","Control","Ambient (19C)","Tray",66,22,"N",0.149,NA,NA,0.149,NA,NA,NA,0.404,0.44083,NA,0.38341,"SW",NA,NA,-0.02746
"203","S14",10,"O39","Sym","Control","Ambient (19C)","Tray",66,22,"Y",0.302,NA,NA,NA,NA,NA,NA,NA,0.40646,NA,NA,NA,NA,NA,NA
"204","S15",1,"O40","Sym","Control","Ambient (19C)","Tray",66,22,"Y",0.186,NA,NA,NA,NA,NA,NA,NA,0.37515,NA,NA,NA,NA,NA,NA
"205","S15",9,"O41","Sym","Control","Ambient (19C)","Tray",66,22,"N",0.155,NA,NA,0.157,NA,NA,NA,0.415,0.37309,NA,0.33228,"EC",NA,NA,-0.08605
"206","S16",4,"O42","Sym","Control","Ambient (19C)","Tray",66,22,"N",0.1,NA,NA,0.092,NA,NA,NA,0.422,0.42914,NA,0.45779,NA,NA,NA,NA
"207","S14",3,"O43","Sym","Control","Ambient (19C)","Tray",67,22,"N",0.182,NA,NA,0.178,NA,NA,NA,0.398,0.36847,NA,0.40843,"SW",NA,NA,-0.00839
"208","S30",3,"O44","Sym","Control","Ambient (19C)","Tray",67,22,"N",0.136,NA,NA,0.136,NA,NA,NA,0.424,0.52231,NA,0.40258,NA,NA,NA,NA
"209","S15",2,"O45","Sym","Control","Ambient (19C)","Tray",67,22,"N",0.2,NA,NA,0.19,NA,NA,NA,0.426,0.38706,NA,0.36155,NA,NA,NA,NA
"210","S15",10,"O46","Sym","Control","Ambient (19C)","Tray",67,22,"N",0.138,NA,NA,0.131,NA,NA,NA,0.418,0.43877,NA,0.40276,"EC",NA,NA,-0.03709
"211","S16",5,"O47","Sym","Control","Ambient (19C)","Tray",67,22,"N",0.062,NA,NA,0.055,NA,NA,NA,0.384,0.3757,NA,0.42273,NA,NA,NA,NA
"212","S14",4,"O48","Sym","Control","Ambient (19C)","Tray",68,22,"N",0.297,NA,NA,0.29,NA,NA,NA,0.334,0.28013,NA,0.40414,"SW",NA,NA,-0.00585
"213","S14",12,"O49","Sym","Control","Ambient (19C)","Tray",68,22,"N",0.11,NA,NA,0.11,NA,NA,NA,0.462,0.26951,NA,0.421,NA,NA,NA,NA
"214","S30",4,"O50","Sym","Control","Ambient (19C)","Tray",68,22,"N",0.168,NA,NA,0.161,NA,NA,NA,0.442,0.44216,NA,0.40652,"EC",NA,NA,-0.06907
"215","S15",11,"O51","Sym","Control","Ambient (19C)","Tray",68,22,"N",0.165,NA,NA,0.156,NA,NA,NA,0.424,0.49647,NA,0.39954,NA,NA,NA,NA
"216","S16",6,"O52","Sym","Control","Ambient (19C)","Tray",68,22,"N",0.254,NA,NA,0.236,NA,NA,NA,0.403,0.28693,NA,0.43794,NA,NA,NA,NA
"217","S14",5,"O53","Sym","Control","Ambient (19C)","Tray",69,22,"N",0.231,NA,NA,0.229,NA,NA,NA,0.432,0.29263,NA,0.19865,"SW",NA,NA,-0.15286
"218","S14",13,"O54","Sym","Control","Ambient (19C)","Tray",69,22,"N",0.492,NA,NA,0.227,NA,NA,NA,0.422,0.38461,NA,0.41281,"EC",NA,NA,-0.06695
"219","S15",4,"O55","Sym","Control","Ambient (19C)","Tray",69,22,"N",0.244,NA,NA,0.044,NA,NA,NA,0.403,0.29609,NA,0.43659,NA,NA,NA,NA
"220","S15",12,"O56","Sym","Control","Ambient (19C)","Tray",69,22,"N",0.229,NA,NA,0.225,NA,NA,NA,0.409,0.32465,NA,0.40609,"EC",NA,NA,-0.03211
"221","S16",7,"O57","Sym","Control","Ambient (19C)","Tray",69,22,"N",0.349,NA,NA,0.341,NA,NA,NA,0.321,0.32375,NA,0.31449,NA,NA,NA,NA
"222","S14",6,"O58","Sym","Control","Ambient (19C)","Tray",70,22,"N",0.337,NA,NA,0.332,NA,NA,NA,0.439,0.31584,NA,0.32784,"SW",NA,NA,-0.00432
"223","S14",14,"O59","Sym","Control","Ambient (19C)","Tray",70,22,"N",0.4,NA,NA,0.349,NA,NA,NA,0.307,0.2933,NA,0.32547,NA,NA,NA,NA
"224","S15",5,"O60","Sym","Control","Ambient (19C)","Tray",70,22,"N",0.198,NA,NA,0.197,NA,NA,NA,0.408,0.38733,NA,0.34576,NA,NA,NA,NA
"225","S15",13,"O62","Sym","Control","Ambient (19C)","Tray",70,22,"N",0.157,NA,NA,0.143,NA,NA,NA,0.403,0.54424,NA,0.4268,NA,NA,NA,NA
"226","S16",8,"O63","Sym","Control","Ambient (19C)","Tray",70,22,"N",0.374,NA,NA,0.34,NA,NA,NA,0.403,0.48305,NA,0.3225,"EC",NA,NA,-0.06892
"227","S14",8,"O64","Sym","Control","Ambient (19C)","Tray",72,22,"N",0.076,NA,NA,0.072,NA,NA,NA,0.454,0.35951,NA,0.38044,"SW",NA,NA,-0.01049
"228","A19",1,"O646","Apo","Control","Ambient (19C)","Tray",95,22,"N",0.351,NA,NA,0.334,NA,NA,NA,0.121,0.55171,NA,0.49599,"EC",NA,NA,-0.01778
"229","S16",1,"O65","Sym","Control","Ambient (19C)","Tray",71,22,"N",0.228,NA,NA,0.226,NA,NA,NA,0.298,0.44552,NA,0.43252,NA,NA,NA,NA
"230","A24",1,"O6566","Apo","Control","Ambient (19C)","Tray",95,22,"N",0.261,NA,NA,0.241,NA,NA,NA,0.38,0.38696,NA,0.49382,NA,NA,NA,NA
"231","A19",8,"O6661","Apo","Control","Ambient (19C)","Tray",94,22,"N",0.262,NA,NA,0.208,NA,NA,NA,0.18,0.5497,NA,0.46522,NA,NA,NA,NA
"232","S16",9,"O67","Sym","Control","Ambient (19C)","Tray",71,22,"N",0.26,NA,NA,0.258,NA,NA,NA,0.454,0.34264,NA,0.21309,NA,NA,NA,NA
"233","A20",8,"O6719","Apo","Control","Ambient (19C)","Tray",95,22,"N",0.244,NA,NA,0.254,NA,NA,NA,0.202,0.48528,NA,0.47232,"EC",NA,NA,-0.02469
"234","A22",1,"O6968","Apo","Control","Ambient (19C)","Tray",95,22,"N",0.255,NA,NA,0.229,NA,NA,NA,0.082,0.59595,NA,0.58851,"SW",NA,NA,-0.00435
"235","S14",7,"O70","Sym","Control","Ambient (19C)","Tray",71,22,"N",0.173,NA,NA,0.166,NA,NA,NA,0.418,0.36013,NA,0.36095,"SW",NA,NA,-0.05524
"236","A21",1,"O7096","Apo","NDF","Elevated (30C)","G2",96,18,"N",0.186,0.172,0.171,NA,0.404,0.191,0.046,NA,0.34998,0.40455,NA,"EC",NA,-0.02253,NA
"237","S14",15,"O71","Sym","Control","Ambient (19C)","Tray",71,22,"N",0.095,NA,NA,0.091,NA,NA,NA,0.439,0.40767,NA,0.33375,"EC",NA,NA,-0.0163
"238","S15",6,"O72","Sym","Control","Ambient (19C)","Tray",71,22,"N",0.164,NA,NA,0.252,NA,NA,NA,0.31,0.32839,NA,0.37567,NA,NA,NA,NA
"239","S14",16,"O73","Sym","Control","Ambient (19C)","Tray",72,22,"N",0.077,NA,NA,0.069,NA,NA,NA,0.442,0.29478,NA,0.36982,NA,NA,NA,NA
"240","A24",2,"O7398","Apo","NDF","Elevated (30C)","G2",96,22,"N",0.13,0.116,0.115,0.106,0.32,0.131,0.083,0.131,0.46669,0.4631,0.57386,"EC",NA,-0.00458,-0.00075
"241","S15",7,"O74","Sym","Control","Ambient (19C)","Tray",72,22,"N",0.13,NA,NA,0.13,NA,NA,NA,0.422,0.43811,NA,0.43021,"EC",NA,NA,-0.00962
"242","S30",7,"O75","Sym","Control","Ambient (19C)","Tray",72,22,"N",0.223,NA,NA,0.2,NA,NA,NA,0.401,0.27783,NA,0.41323,NA,NA,NA,NA
"243","M1",9,"O76","Sym","Control","Ambient (19C)","Tray",72,22,"N",0.08,NA,NA,0.074,NA,NA,NA,0.5,0.52408,NA,0.38111,NA,NA,NA,NA
"244","A20",1,"O7681","Apo","NDF","Elevated (30C)","G2",96,19,"N",0.303,0.279,0.228,NA,0.171,0.286,0.076,NA,0.40094,0.52955,NA,"SW",-0.00569,-0.00398,NA
"245","A14",2,"O77","Apo","Control","Ambient (19C)","Tray",73,22,"N",0.161,NA,NA,0.143,NA,NA,NA,0.123,0.20291,NA,0.45904,NA,NA,NA,NA
"246","A15",3,"O78","Apo","Control","Ambient (19C)","Tray",73,22,"N",0.116,NA,NA,0.098,NA,NA,NA,0.086,0.48835,NA,0.54455,"SW",NA,NA,-0.0079
"247","A16",1,"O79","Apo","Control","Ambient (19C)","Tray",73,22,"N",0.461,NA,NA,0.429,NA,NA,NA,0.126,0.43987,NA,0.54142,"EC",NA,NA,-0.01075
"248","A16",9,"O80","Apo","Control","Ambient (19C)","Tray",73,22,"N",0.132,NA,NA,0.156,NA,NA,NA,0.2,0.33557,NA,0.44459,"SW",NA,NA,-0.00537
"249","A16",17,"O82","Apo","Control","Ambient (19C)","Tray",73,22,"N",0.13,NA,NA,0.122,NA,NA,NA,0.098,0.52164,NA,0.51351,NA,NA,NA,NA
"250","A14",3,"O83","Apo","Control","Ambient (19C)","Tray",74,22,"N",0.163,NA,NA,0.153,NA,NA,NA,0.237,0.22782,NA,0.34179,"EC",NA,NA,-0.0085
"251","A15",4,"O84","Apo","Control","Ambient (19C)","Tray",74,22,"N",0.378,NA,NA,0.356,NA,NA,NA,0.064,0.59679,NA,0.57468,NA,NA,NA,NA
"252","A16",2,"O85","Apo","Control","Ambient (19C)","Tray",74,22,"N",0.257,NA,NA,0.239,NA,NA,NA,0.151,0.49511,NA,0.49813,"SW",NA,NA,-0.00291
"253","A16",10,"O87","Apo","Control","Ambient (19C)","Tray",74,22,"N",0.114,NA,NA,0.101,NA,NA,NA,0.147,0.49899,NA,0.54759,"SW",NA,NA,-0.00342
"254","A16",18,"O88","Apo","Control","Ambient (19C)","Tray",74,22,"N",0.291,NA,NA,0.279,NA,NA,NA,0.16,0.33872,NA,0.35415,NA,NA,NA,NA
"255","A14",4,"O89","Apo","Control","Ambient (19C)","Tray",75,22,"N",0.181,NA,NA,0.16,NA,NA,NA,0.18,0.40183,NA,0.50364,"SW",NA,NA,-0.0061
"256","A15",5,"O90","Apo","Control","Ambient (19C)","Tray",75,22,"N",0.106,NA,NA,NA,NA,NA,NA,NA,0.68334,NA,NA,NA,NA,NA,NA
"257","A18",6,"O916","Apo","Control","Ambient (19C)","Tray",94,22,"N",0.364,NA,NA,0.311,NA,NA,NA,0.069,0.41571,NA,0.53367,"SW",NA,NA,-0.0073
"258","A22",2,"O9174","Apo","NDF","Elevated (30C)","G2",96,19,"N",0.234,0.208,0.198,NA,0.197,0.274,0.089,NA,0.62558,0.56002,NA,"SW",-0.00503,-0.00297,NA
"259","A16",3,"O92","Apo","Control","Ambient (19C)","Tray",75,22,"N",0.144,NA,NA,0.126,NA,NA,NA,0.124,0.48805,NA,0.5825,NA,NA,NA,NA
"260","A16",11,"O93","Apo","Control","Ambient (19C)","Tray",75,22,"N",0.33,NA,NA,0.314,NA,NA,NA,0.113,0.52762,NA,0.57688,"SW",NA,NA,-0.01645
"261","A16",19,"O94","Apo","Control","Ambient (19C)","Tray",75,22,"N",0.248,NA,NA,0.234,NA,NA,NA,0.129,0.47013,NA,0.40659,"EC",NA,NA,-0.01822
"262","A14",5,"O95","Apo","Control","Ambient (19C)","Tray",76,22,"N",0.194,NA,NA,0.177,NA,NA,NA,0.155,0.5317,NA,0.51354,NA,NA,NA,NA
"263","A23",3,"O9659","Apo","Control","Ambient (19C)","Tray",94,22,"N",0.217,NA,NA,0.231,NA,NA,NA,0.167,0.56909,NA,0.57258,"EC",NA,NA,-0.01099
"264","A25",1,"O97","Apo","Control","Ambient (19C)","Tray",76,22,"N",0.225,NA,NA,0.224,NA,NA,NA,0.125,0.457,NA,0.53225,"EC",NA,NA,-0.02356
"265","A16",4,"O98","Apo","Control","Ambient (19C)","Tray",76,22,"N",0.456,NA,NA,0.383,NA,NA,NA,0.325,0.48746,NA,0.43094,"SW",NA,NA,-0.02291
"266","A20",7,"O986","Apo","Control","Ambient (19C)","Tray",94,22,"N",0.306,NA,NA,0.297,NA,NA,NA,0.097,0.45174,NA,0.65932,"EC",NA,NA,-0.02424
"267","A19",2,"O9975","Apo","NDF","Elevated (30C)","G2",96,9,"N",0.22,0.16,NA,NA,0.374,0.267,NA,NA,0.41698,0.34483,NA,NA,NA,NA,NA
"268","A4",6,"W1","Apo","PLF","Elevated (30C)","F2",30,5,"N",0.095,NA,NA,NA,0.418,NA,NA,NA,0.60067,0.5925,NA,NA,NA,NA,NA
"269","A4",8,"W10","Apo","NLF","Elevated (30C)","H2",32,17,"N",0.087,0.098,0.114,NA,0.263,0.121,0.178,NA,0.43558,0.5235,NA,"EC",-0.01228,-0.01157,NA
"270","A5",4,"W11","Apo","NLF","Elevated (30C)","H2",32,11,"N",0.079,0.071,NA,NA,0.438,0.327,NA,NA,0.5101,0.4036,NA,"SW",-0.00712,NA,NA
"271","A25",10,"W12","Apo","NLF","Elevated (30C)","H2",32,4,"N",0.323,NA,NA,NA,0.19,NA,NA,NA,0.22095,0.31824,NA,NA,NA,NA,NA
"272","A6",1,"W13","Apo","NLF","Elevated (30C)","H2",32,22,"N",0.134,0.123,0.133,0.125,0.109,0.256,0.097,0.472,0.30135,0.45527,0.43023,"EC",-0.00887,-0.01032,-0.01601
"273","A8",1,"W14","Apo","NLF","Elevated (30C)","H2",32,18,"N",0.211,0.199,0.196,NA,0.188,0.138,0.053,NA,0.36685,0.57877,NA,"SW",-0.00449,-0.00287,NA
