"","Colony","Fragment","BTag","Phenotype","Treatment","Temperature","Tank","Tile","DaysAlive","Censored","MassG.day0","MassG.day8","MassG.day15","MassG.day22","FvFm.day1","FvFm.day8","FvFm.day15","FvFm.day22","CoralR.day0","CoralR.day1","CoralR.day22","Bacteria","MR.day8","MR.day15","MR.day22"
"45","S4",21,"B44","Sym","PDF","Elevated (30C)","E2",21,22,"N",0.176,0.174,0.168,0.169,0.13,0.208,0.074,0.239,0.29439,0.35102,0.43417,"EC",-0.07428,-0.01729,-0.00829
"46","S5",6,"B45","Sym","PDF","Elevated (30C)","E2",21,8,"Y",0.283,NA,NA,NA,0.159,0.07,NA,NA,0.22304,0.28465,NA,NA,NA,NA,NA
"47","S6",7,"B46","Sym","PDF","Elevated (30C)","E2",21,22,"N",0.113,0.109,0.105,0.098,0.194,0.21,0.186,0.515,0.26686,0.47582,0.38524,"EC",-0.00913,-0.01117,-0.01078
"48","S30",8,"B47","Sym","PLF","Elevated (30C)","F2",22,22,"N",0.161,0.152,0.152,0.15,0.386,0.169,0.184,0.279,0.41461,0.3787,0.49448,"EC",-0.02991,-0.05598,-0.00906
"49","S4",13,"B48","Sym","PLF","Elevated (30C)","F2",22,12,"N",0.196,0.183,NA,NA,0.324,0.166,NA,NA,0.41232,0.31424,NA,"SW",-0.01842,NA,NA
"50","S4",22,"B49","Sym","PLF","Elevated (30C)","F2",22,22,"N",0.147,0.131,0.128,0.127,0.276,0.086,0.126,0.092,0.35718,0.33684,0.46576,"EC",-0.07729,-0.19589,-0.01919
"51","S29",5,"B5","Sym","PDF","Elevated (30C)","E1",5,22,"N",0.148,0.117,0.144,0.108,0.327,0.33,0.161,0.353,0.26704,0.3819,0.51733,"SW",-0.00841,-0.00478,-0.00273
"52","S30",1,"B50","Sym","PLF","Elevated (30C)","F2",22,22,"N",0.226,0.221,0.219,0.217,0.273,0.172,0.109,0.288,0.344,0.4227,0.50504,"SW",-0.00499,-0.00363,-0.00418
"53","S6",8,"B51","Sym","PLF","Elevated (30C)","F2",22,20,"N",0.086,0.074,0.067,NA,0.183,0.193,0.129,NA,0.32579,0.31535,NA,"EC",-0.01138,-0.01271,NA
"54","S4",7,"B52","Sym","NDF","Elevated (30C)","G2",23,18,"N",0.151,0.135,0.131,NA,0.312,0.204,0.092,NA,0.36527,0.40074,NA,"EC",NA,-0.00507,NA
"55","S4",14,"B53","Sym","NDF","Elevated (30C)","G2",23,19,"N",0.262,0.244,0.231,NA,0.175,0.245,0.064,NA,0.31905,0.34818,NA,"SW",-0.00275,-0.00276,NA
