Date,Colony#,Colony,Sym.State,Tile#,Frag#,B.TAG,TANK.ID,Treat.ID,Sump,Temperature,Plastic,Light,Food,Mass,Day,Days.In.Treatment
08/04/2021,12,A5,APO,25,13,B67,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.172,Initial,22
08/04/2021,13,A6,APO,25,2,B70,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.122,Initial,22
08/03/2021,8,S4,SYM,17,1,B13,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.051,Initial,22
08/03/2021,9,S5,SYM,17,2,B20,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.116,Initial,22
08/03/2021,10,S6,SYM,17,3,B21,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.041,Initial,8
08/03/2021,8,S4,SYM,17,8,B14,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.119,Initial,22
08/03/2021,8,S4,SYM,17,17,B15,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.261,Initial,22
08/04/2021,19,A10,APO,41,7,W60,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.351,Initial,22
08/04/2021,20,A11,APO,41,5,W62,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.335,Initial,22
08/04/2021,20,A11,APO,41,13,W63,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.212,Initial,15
08/04/2021,18,A9,APO,41,1,W58,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.156,Initial,22
08/04/2021,18,A9,APO,41,9,W59,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.228,Initial,22
08/31/2021,51,S30,SYM,33,11,W15,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.125,Initial,22
08/04/2021,16,S7,SYM,33,9,W17,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.071,Initial,8
08/04/2021,16,S7,SYM,33,17,W20,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.167,Initial,22
08/04/2021,16,S7,SYM,33,25,W21,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.164,Initial,22
08/04/2021,16,S7,SYM,33,33,W22,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.375,Initial,22
08/05/2021,26,A12,APO,57,1,Y55,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.115,Initial,8
08/05/2021,26,A12,APO,57,17,Y57,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.191,Initial,8
08/05/2021,27,A13,APO,57,7,Y58,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.211,Initial,22
08/05/2021,27,A13,APO,57,14,Y59,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.164,Initial,22
08/31/2021,52,A25,APO,57,2,Y56,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.315,Initial,22
08/04/2021,22,S10,SYM,49,1,Y13,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.167,Initial,8
08/04/2021,23,S11,SYM,49,2,Y14,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.144,Initial,8
08/04/2021,23,S11,SYM,49,10,Y15,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.156,Initial,22
08/04/2021,24,S12,SYM,49,6,Y17,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.222,Initial,22
08/04/2021,21,S9,SYM,49,1,Y12,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.203,Initial,8
08/02/2021,5,A1,APO,10,1,G65,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.265,Initial,22
08/02/2021,5,A1,APO,10,9,G67,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.302,Initial,22
08/02/2021,6,A2,APO,10,5,G70,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.244,Initial,22
08/03/2021,6,A2,APO,10,13,G71,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.229,Initial,22
08/03/2021,7,A3,APO,10,7,G73,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.159,Initial,22
08/09/2021,42,S21,SYM,2,2,G28,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.302,Initial,22
08/09/2021,45,S24,SYM,2,1,G29,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.186,Initial,22
08/09/2021,47,S26,SYM,2,2,G30,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.315,Initial,22
08/09/2021,50,S29,SYM,2,2,G32,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.107,Initial,22
08/09/2021,48,S27,SYM,2,7,G31,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.249,Initial,22
08/03/2021,8,S4,SYM,18,2,B28,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.169,Initial,22
08/03/2021,11,A4,APO,26,2,B71,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.084,Initial,8
08/03/2021,11,A4,APO,26,10,B72,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.088,Initial,8
08/03/2021,12,A5,APO,26,6,B73,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.489,Initial,22
08/04/2021,12,A5,APO,26,14,B74,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.136,Initial,22
08/04/2021,13,A6,APO,26,3,B75,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.113,Initial,22
08/03/2021,9,S5,SYM,18,3,B30,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.173,Initial,22
08/03/2021,10,S6,SYM,18,4,B31,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.116,Initial,22
08/03/2021,8,S4,SYM,18,9,B29,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.175,Initial,8
08/03/2021,8,S4,SYM,18,18,B27,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.177,Initial,22
08/04/2021,19,A10,APO,42,8,W67,B3,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.159,Initial,22
08/04/2021,20,A11,APO,42,6,W70,B3,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.215,Initial,8
08/04/2021,20,A11,APO,42,14,W71,B3,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.167,Initial,22
08/04/2021,18,A9,APO,42,2,W64,B3,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.184,Initial,22
08/04/2021,18,A9,APO,42,10,W65,B3,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.222,Initial,22
08/04/2021,16,S7,SYM,34,2,W23,B3,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.126,Initial,22
08/04/2021,16,S7,SYM,34,10,W24,B3,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.26,Initial,22
08/04/2021,16,S7,SYM,34,18,W25,B3,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.193,Initial,22
08/04/2021,16,S7,SYM,34,26,W26,B3,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.232,Initial,15
08/04/2021,16,S7,SYM,34,34,W27,B3,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.235,Initial,22
08/05/2021,26,A12,APO,58,2,Y60,B4,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.152,Initial,22
08/05/2021,26,A12,APO,58,10,Y62,B4,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.307,Initial,8
08/05/2021,26,A12,APO,58,18,Y63,B4,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.269,Initial,8
08/05/2021,27,A13,APO,58,8,Y64,B4,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.162,Initial,22
08/05/2021,27,A13,APO,58,15,Y65,B4,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.123,Initial,22
08/04/2021,22,S10,SYM,50,2,Y21,B4,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.12,Initial,15
08/04/2021,23,S11,SYM,50,3,Y22,B4,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.158,Initial,22
08/04/2021,23,S11,SYM,50,11,Y23,B4,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.165,Initial,22
08/04/2021,24,S12,SYM,50,7,Y24,B4,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.1,Initial,22
08/04/2021,21,S9,SYM,50,2,Y20,B4,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.091,Initial,8
08/02/2021,5,A1,APO,11,2,G74,C1,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.225,Initial,8
08/02/2021,5,A1,APO,11,10,G75,C1,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.227,Initial,22
08/02/2021,6,A2,APO,11,6,G76,C1,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.091,Initial,22
08/03/2021,6,A2,APO,11,14,G77,C1,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.238,Initial,22
08/03/2021,7,A3,APO,11,8,G78,C1,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.155,Initial,22
08/09/2021,42,S21,SYM,3,3,G33,C1,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.458,Initial,22
08/09/2021,45,S24,SYM,3,2,G34,C1,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.039,Initial,8
08/09/2021,47,S26,SYM,3,3,G35,C1,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.174,Initial,22
08/09/2021,49,S28,SYM,3,1,G37,C1,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.218,Initial,22
08/09/2021,50,S29,SYM,3,3,G38,C1,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.175,Initial,22
08/03/2021,8,S4,SYM,19,3,B32,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.094,Initial,8
08/31/2021,52,A25,APO,27,6,B76,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.292,Initial,22
08/03/2021,11,A4,APO,27,11,B77,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.201,Initial,22
08/04/2021,12,A5,APO,27,7,B78,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.082,Initial,8
08/04/2021,12,A5,APO,27,15,B79,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.163,Initial,22
08/04/2021,13,A6,APO,27,4,B80,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.208,Initial,22
08/31/2021,51,S30,SYM,19,2,B34,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.093,Initial,22
08/03/2021,9,S5,SYM,19,4,B35,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.196,Initial,22
08/03/2021,10,S6,SYM,19,5,B36,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.174,Initial,22
08/03/2021,8,S4,SYM,19,10,B33,C2,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.197,Initial,22
08/04/2021,19,A10,APO,43,1,W73,C3,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.14,Initial,22
08/04/2021,19,A10,APO,43,9,W74,C3,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.267,Initial,22
08/04/2021,20,A11,APO,43,7,W75,C3,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.128,Initial,22
08/04/2021,20,A11,APO,43,15,W76,C3,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.124,Initial,22
08/04/2021,18,A9,APO,43,3,W72,C3,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.165,Initial,22
08/04/2021,16,S7,SYM,35,3,W28,C3,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.204,Initial,22
08/04/2021,16,S7,SYM,35,11,W29,C3,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.287,Initial,22
08/04/2021,16,S7,SYM,35,19,W30,C3,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.137,Initial,22
08/04/2021,16,S7,SYM,35,27,W31,C3,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.201,Initial,22
08/04/2021,16,S7,SYM,35,35,W32,C3,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.224,Initial,22
08/05/2021,26,A12,APO,59,3,Y67,C4,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.173,Initial,22
08/05/2021,26,A12,APO,59,11,Y70,C4,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.193,Initial,22
08/05/2021,27,A13,APO,59,1,Y71,C4,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.213,Initial,22
08/05/2021,27,A13,APO,59,9,Y72,C4,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.149,Initial,22
08/05/2021,27,A13,APO,59,16,Y73,C4,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.265,Initial,22
08/04/2021,22,S10,SYM,51,3,Y26,C4,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.165,Initial,22
08/04/2021,23,S11,SYM,51,4,Y27,C4,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.153,Initial,22
08/04/2021,23,S11,SYM,51,12,Y28,C4,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.171,Initial,22
08/04/2021,24,S12,SYM,51,8,Y29,C4,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.144,Initial,22
08/04/2021,21,S9,SYM,51,3,Y25,C4,NDS,Yellow,ELEVATED,NOPLASTIC,DARK,STARVED,0.45,Initial,22
08/09/2021,48,S27,SYM,4,1,G41,D1,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.088,Initial,22
08/02/2021,5,A1,APO,12,3,G79,D1,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.177,Initial,22
08/02/2021,5,A1,APO,12,11,G80,D1,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.228,Initial,22
08/02/2021,6,A2,APO,12,7,G82,D1,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.12,Initial,8
08/03/2021,7,A3,APO,12,1,G83,D1,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.194,Initial,22
08/03/2021,7,A3,APO,12,9,G84,D1,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.199,Initial,22
08/09/2021,43,S22,SYM,4,1,G39,D1,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.108,Initial,22
08/09/2021,45,S24,SYM,4,3,G40,D1,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.331,Initial,22
08/09/2021,49,S28,SYM,4,2,G42,D1,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.178,Initial,22
08/09/2021,50,S29,SYM,4,4,G43,D1,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.179,Initial,22
08/03/2021,8,S4,SYM,20,4,B37,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.090,Initial,22
08/03/2021,11,A4,APO,28,4,B82,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.124,Initial,22
08/03/2021,11,A4,APO,28,12,B83,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.144,Initial,22
08/04/2021,12,A5,APO,28,8,B84,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.207,Initial,22
08/04/2021,12,A5,APO,28,16,B85,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.154,Initial,22
08/04/2021,13,A6,APO,28,5,B87,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.215,Initial,22
08/03/2021,8,S4,SYM,20,11,B38,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.184,Initial,22
08/03/2021,9,S5,SYM,20,5,B40,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.126,Initial,22
08/03/2021,10,S6,SYM,20,6,B41,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.294,Initial,22
08/03/2021,8,S4,SYM,20,20,B39,D2,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.144,Initial,22
08/04/2021,19,A10,APO,44,2,W78,D3,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.227,Initial,22
08/04/2021,19,A10,APO,44,10,W79,D3,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.223,Initial,8
08/04/2021,20,A11,APO,44,8,W80,D3,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.185,Initial,22
08/04/2021,20,A11,APO,44,16,W82,D3,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.132,Initial,22
08/04/2021,18,A9,APO,44,4,W77,D3,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.077,Initial,22
08/31/2021,51,S30,SYM,36,6,W35,D3,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.127,Initial,22
08/04/2021,16,S7,SYM,36,4,W33,D3,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.163,Initial,22
08/04/2021,16,S7,SYM,36,12,W34,D3,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.109,Initial,22
08/04/2021,16,S7,SYM,36,28,W36,D3,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.126,Initial,22
08/04/2021,16,S7,SYM,36,36,W37,D3,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.293,Initial,22
08/05/2021,26,A12,APO,60,4,Y74,D4,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.159,Initial,22
08/05/2021,26,A12,APO,60,12,Y75,D4,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.191,Initial,22
08/05/2021,27,A13,APO,60,2,Y76,D4,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.163,Initial,22
08/05/2021,27,A13,APO,60,10,Y77,D4,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.103,Initial,22
08/05/2021,27,A13,APO,60,17,Y78,D4,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.308,Initial,22
08/04/2021,22,S10,SYM,52,4,Y31,D4,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.225,Initial,22
08/04/2021,23,S11,SYM,52,5,Y32,D4,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.193,Initial,22
08/04/2021,24,S12,SYM,52,1,Y33,D4,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.206,Initial,22
08/04/2021,24,S12,SYM,52,9,Y34,D4,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.292,Initial,22
08/04/2021,21,S9,SYM,52,4,Y30,D4,NLS,Yellow,ELEVATED,NOPLASTIC,LIGHT,STARVED,0.426,Initial,15
08/02/2021,5,A1,APO,13,4,G85,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.071,Initial,22
08/02/2021,5,A1,APO,13,12,G87,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.271,Initial,22
08/02/2021,6,A2,APO,13,8,G88,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.145,Initial,15
08/03/2021,7,A3,APO,13,2,G90,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.108,Initial,22
08/03/2021,7,A3,APO,13,10,G92,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.134,Initial,22
08/09/2021,43,S22,SYM,5,2,B1,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.242,Initial,22
08/09/2021,46,S25,SYM,5,1,B2,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.286,Initial,22
08/09/2021,48,S27,SYM,5,2,B3,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.071,Initial,22
08/09/2021,49,S28,SYM,5,3,B4,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.19,Initial,22
08/09/2021,50,S29,SYM,5,5,B5,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.148,Initial,22
08/03/2021,11,A4,APO,29,5,B88,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.078,Initial,8
08/03/2021,12,A5,APO,29,1,B90,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.345,Initial,7
08/04/2021,12,A5,APO,29,9,B92,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.21,Initial,22
08/04/2021,12,A5,APO,29,17,B93,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.184,Initial,22
08/04/2021,14,A7,APO,29,1,B94,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.109,Initial,22
08/03/2021,8,S4,SYM,21,5,B42,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.209,Initial,15
08/03/2021,8,S4,SYM,21,12,B43,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.164,Initial,22
08/03/2021,8,S4,SYM,21,21,B44,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.176,Initial,22
08/03/2021,9,S5,SYM,21,6,B45,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.283,Initial,8
08/03/2021,10,S6,SYM,21,7,B46,E2,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.113,Initial,22
08/04/2021,19,A10,APO,45,3,W84,E3,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.306,Initial,22
08/04/2021,20,A11,APO,45,1,W85,E3,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.092,Initial,22
08/04/2021,20,A11,APO,45,9,W87,E3,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.203,Initial,22
08/04/2021,20,A11,APO,45,17,W90,E3,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.02,Initial,7
08/04/2021,18,A9,APO,45,5,W83,E3,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.141,Initial,22
08/04/2021,16,S7,SYM,37,5,W38,E3,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.255,Initial,22
08/04/2021,16,S7,SYM,37,13,W39,E3,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.127,Initial,22
08/04/2021,16,S7,SYM,37,21,W40,E3,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.23,Initial,22
08/04/2021,16,S7,SYM,37,29,W41,E3,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.119,Initial,22
08/04/2021,16,S7,SYM,37,37,W42,E3,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.3,Initial,22
08/05/2021,26,A12,APO,61,5,Y79,E4,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.057,Initial,22
08/05/2021,26,A12,APO,61,13,Y80,E4,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.295,Initial,7
08/05/2021,27,A13,APO,61,3,Y82,E4,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.119,Initial,22
08/05/2021,27,A13,APO,61,11,Y83,E4,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.254,Initial,22
08/05/2021,27,A13,APO,61,18,Y84,E4,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.186,Initial,22
08/04/2021,22,S10,SYM,53,5,Y36,E4,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.163,Initial,22
08/04/2021,23,S11,SYM,53,6,Y37,E4,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.184,Initial,22
08/04/2021,24,S12,SYM,53,2,Y38,E4,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.157,Initial,22
08/04/2021,25,S13,SYM,53,1,Y39,E4,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.252,Initial,22
08/04/2021,21,S9,SYM,53,5,Y35,E4,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.137,Initial,22
08/02/2021,5,A1,APO,14,5,G93,F1,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.128,Initial,22
08/02/2021,6,A2,APO,14,1,G94,F1,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.078,Initial,8
08/02/2021,6,A2,APO,14,9,G95,F1,PLF,Green,ELEVATED,PLASTIC,LIGHT,FED,0.167,Initial,22
