Date,Colony#,Colony,Sym.State,Tile,Frag,B.TAG,TANK.ID,Treat.ID,Sump,Temperature,Plastic,Light,Food,Mass,Day
10/27/2021,32,S18,SYM,87,4,B233,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.350,22
10/26/2021,6,A2,APO,16,11,B24,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.198,22
08/02/2021,6,A2,APO,16,11,B24,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.239,1
10/12/2021,6,A2,APO,16,11,B24,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.213,8
10/19/2021,6,A2,APO,16,11,B24,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.214,15
10/26/2021,7,A3,APO,16,5,B25,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.073,22
08/03/2021,7,A3,APO,16,5,B25,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.083,1
10/12/2021,7,A3,APO,16,5,B25,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.074,8
10/19/2021,7,A3,APO,16,5,B25,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.079,15
10/26/2021,7,A3,APO,16,13,B26,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.299,22
08/03/2021,7,A3,APO,16,13,B26,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.298,1
10/12/2021,7,A3,APO,16,13,B26,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.291,8
10/19/2021,7,A3,APO,16,13,B26,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.303,15
08/06/2021,31,S17,SYM,87,7,B266,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.35,1
10/27/2021,31,S17,SYM,87,7,B266,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.343,22
08/03/2021,8,S4,SYM,18,18,B27,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.177,1
10/5/2021,8,S4,SYM,18,18,B27,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.182,8
10/12/2021,8,S4,SYM,18,18,B27,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.167,15
10/19/2021,8,S4,SYM,18,18,B27,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.169,22
08/06/2021,32,S18,SYM,88,5,B2759,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.391,1
10/27/2021,32,S18,SYM,88,5,B2759,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.376,22
08/03/2021,8,S4,SYM,18,2,B28,B2,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.169,1
